# SVT — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de troisième : la génétique, l'évolution, les défenses de
# l'organisme, le système nerveux et la responsabilité humaine.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-3e
! nom     | SVT — 3e
! de      | de SVT — 3e
! detail  | Le programme de troisième : génétique, immunité, cerveau.
! icone   | microbe
! teinte  | 0.36 0.48 0.72
! rang   | 22
! produit | com.oulhen.riskelo.pack.svt3e


# --- Les chromosomes et les gènes ---

F | Où se trouve l'information génétique dans une cellule ? | Dans le noyau | Dans la membrane | Dans le cytoplasme seul | Dans la paroi
F | Comment appelle-t-on les bâtonnets porteurs de l'information génétique ? | Les chromosomes | Les ribosomes | Les lysosomes | Les vacuoles
M | Combien de bâtonnets porteurs de gènes une cellule humaine renferme-t-elle ? | Quarante-six | Vingt-trois | Quatre-vingt-douze | Vingt-quatre
M | En combien de paires les chromosomes humains sont-ils rangés ? | Vingt-trois | Quarante-six | Douze | Quarante-huit
F | Quels chromosomes déterminent le sexe chez l'humain ? | Les chromosomes X et Y | Les chromosomes A et B | Les chromosomes 1 et 2 | Les chromosomes M et F
M | Quelle paire de chromosomes sexuels porte une femme ? | Deux X | Un X et un Y | Deux Y | Un seul X
M | Quelle paire de chromosomes sexuels porte un homme ? | Un X et un Y | Deux X | Deux Y | Un seul Y
M | De quelle molécule les chromosomes sont-ils faits ? | L'ADN | L'ARN seul | Les protéines seules | Les lipides
D | Quel nom complet se cache derrière les trois lettres ADN ? | Acide désoxyribonucléique | Acide dinucléique | Acide de noyau | Acide nucléaire double
M | Quelle forme la molécule d'ADN a-t-elle ? | Une double hélice | Un anneau simple | Une droite | Un carré
D | Quels savants ont décrit la structure de l'ADN en 1953 ? | Watson et Crick | Mendel et Darwin | Pasteur et Koch | Morgan et Muller
D | Quelle chercheuse a produit les clichés qui ont permis cette découverte ? | Rosalind Franklin | Marie Curie | Barbara McClintock | Lise Meitner
F | Comment appelle-t-on un segment d'ADN qui porte une information précise ? | Un gène | Un chromosome | Une cellule | Un tissu
D | Combien de gènes le génome humain compte-t-il environ ? | Une vingtaine de milliers | Une centaine | Un million | Dix millions
M | Comment appelle-t-on les différentes versions d'un même gène ? | Les allèles | Les gènes doubles | Les mutations | Les chromosomes
D | Comment appelle-t-on un individu qui porte deux allèles identiques ? | Un homozygote | Un hétérozygote | Un hybride | Un mutant
D | Comment appelle-t-on un individu qui porte deux allèles différents ? | Un hétérozygote | Un homozygote | Un clone | Un diploïde
M | Comment appelle-t-on un allèle qui s'exprime toujours ? | Un allèle dominant | Un allèle récessif | Un allèle neutre | Un allèle muet
D | Comment appelle-t-on un allèle qui ne s'exprime qu'en double ? | Un allèle récessif | Un allèle dominant | Un allèle codominant | Un allèle lié
M | Quel moine a découvert les lois de l'hérédité sur des pois ? | Gregor Mendel | Charles Darwin | Louis Pasteur | Jean-Baptiste Lamarck


# --- La division cellulaire et l'hérédité ---

F | Comment appelle-t-on la division qui donne deux cellules identiques ? | La mitose | La méiose | La fécondation | La mutation
M | Comment appelle-t-on la division qui produit les cellules reproductrices ? | La méiose | La mitose | La mutation | La nidation
M | Combien de chromosomes contient un spermatozoïde humain ? | Vingt-trois | Quarante-six | Quatre-vingt-douze | Douze
D | Combien de chromosomes contient un ovule humain ? | Vingt-trois | Quarante-six | Quatre-vingt-douze | Douze
M | Combien de chromosomes contient la cellule-œuf humaine ? | Quarante-six | Vingt-trois | Quatre-vingt-douze | Soixante-neuf
F | De qui l'enfant reçoit-il ses chromosomes ? | Moitié du père, moitié de la mère | Uniquement du père | Uniquement de la mère | Au hasard total
D | Pourquoi deux frères ne se ressemblent-ils pas exactement ? | Le brassage des chromosomes diffère | Ils ont des parents différents | Ils grandissent ailleurs | Ils mangent autrement
D | Sauf exception, à quoi deux vrais jumeaux doivent-ils leur ressemblance ? | Ils viennent de la même cellule-œuf | Ils ont mangé pareil | Ils sont nés le même jour | Ils sont du même sexe
M | Comment appelle-t-on une modification accidentelle d'un gène ? | Une mutation | Une adaptation | Une hybridation | Une greffe
D | Qu'est-ce qui peut provoquer une mutation ? | Les rayons ultraviolets et certains produits | Le bruit | Le froid | La lecture
D | Une mutation est-elle toujours nuisible ? | Non, elle peut être neutre ou utile | Oui, toujours | Elle est toujours utile | Elle est toujours mortelle
F | Comment appelle-t-on une maladie transmise par les gènes ? | Une maladie génétique | Une maladie infectieuse | Une carence | Une allergie
M | Quelle maladie génétique est due à un chromosome 21 en trois exemplaires ? | La trisomie 21 | La mucoviscidose | L'hémophilie | La drépanocytose
D | Quelle maladie génétique touche surtout les poumons et la digestion ? | La mucoviscidose | La trisomie 21 | L'hémophilie | Le daltonisme
M | Quelle maladie génétique empêche le sang de coaguler normalement ? | L'hémophilie | La mucoviscidose | Le daltonisme | La drépanocytose


# --- L'évolution ---

F | Comment appelle-t-on la transformation des espèces au cours du temps ? | L'évolution | La croissance | La reproduction | La migration
F | Quel mécanisme favorise les individus les mieux adaptés ? | La sélection naturelle | Le hasard seul | La volonté de l'espèce | L'usage des organes
M | Quelle œuvre de Darwin a paru en 1859 ? | L'Origine des espèces | Le Voyage du Beagle | La Descendance de l'homme | Les Orchidées
D | Sur quel navire Darwin a-t-il fait son grand voyage ? | Le Beagle | L'Endeavour | La Calypso | Le Nautilus
M | Quel archipel a inspiré Darwin par la diversité de ses pinsons ? | Les Galápagos | Les Canaries | Les Açores | Les Baléares
M | Comment appelle-t-on un caractère hérité qui aide à survivre ? | Une adaptation | Une acquisition | Une habitude | Une maladie
D | Comment appelle-t-on l'ancêtre commun de deux espèces proches ? | Leur ancêtre commun | Leur descendant | Leur clone | Leur hybride
F | Qu'est-ce qui prouve que les espèces ont changé au fil du temps ? | Les fossiles | Les légendes | Les cartes | Les traditions
D | Comment appelle-t-on la ressemblance de plan d'organisation entre espèces ? | L'homologie | L'analogie | La convergence | La symétrie
D | Comment appelle-t-on la ressemblance due à un même mode de vie, sans parenté ? | La convergence | L'homologie | L'hérédité | La mutation
M | À quel groupe l'espèce humaine appartient-elle ? | Les primates | Les rongeurs | Les carnivores | Les marsupiaux
M | Quel est le parent actuel le plus proche de l'espèce humaine ? | Le chimpanzé | Le gorille | L'orang-outan | Le gibbon
