# Histoire — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de sixième : les débuts de l'humanité, les premiers
# États, la Méditerranée antique et l'empire romain.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | histoire-6e
! nom     | Histoire — 6e
! de      | d'Histoire — 6e
! detail  | Le programme de sixième : préhistoire, Égypte, Grèce, Rome.
! icone   | pyramid
! teinte  | 0.78 0.62 0.38
! rang   | 6
! produit | com.oulhen.riskelo.pack.histoire6e


# --- Les débuts de l'humanité ---

F | Sur quel continent les plus anciens ancêtres de l'homme ont-ils été trouvés ? | L'Afrique | L'Europe | L'Asie | L'Amérique
F | Comment appelle-t-on la période avant l'invention de l'écriture ? | La préhistoire | L'Antiquité | Le Moyen Âge | Les temps modernes
M | Quel célèbre fossile d'australopithèque a été découvert en Éthiopie en 1974 ? | Lucy | Toumaï | Ötzi | Cro-Magnon
D | Quel fossile découvert au Tchad est l'un des plus anciens hominidés connus ? | Toumaï | Lucy | Abel | Ardi
M | Quelle espèce humaine a vécu en Europe avant Homo sapiens ? | L'homme de Néandertal | L'homme de Cro-Magnon | Homo habilis | Homo erectus
M | Quel est le nom scientifique de l'homme moderne ? | Homo sapiens | Homo erectus | Homo habilis | Australopithèque
D | Quelle espèce doit son nom à sa capacité à fabriquer des outils ? | Homo habilis | Homo sapiens | Homo erectus | Néandertal
M | Quelle découverte a permis aux hommes préhistoriques de cuire leurs aliments ? | La maîtrise du feu | La roue | La poterie | Le métal
M | Comment appelle-t-on un homme préhistorique qui se déplace sans cesse ? | Un nomade | Un sédentaire | Un artisan | Un citoyen
M | De quoi vivaient les hommes du Paléolithique ? | De la chasse et de la cueillette | De l'agriculture | Du commerce | De l'élevage
F | Quelle grotte française est célèbre pour ses peintures d'animaux ? | Lascaux | Le gouffre de Padirac | La grotte de Han | La grotte de Fingal
D | Quelle grotte ornée de l'Ardèche a été découverte en 1994 ? | La grotte Chauvet | La grotte Cosquer | Lascaux | Altamira
D | Quelle grotte ornée d'Espagne est célèbre pour ses bisons ? | Altamira | Lascaux | Chauvet | Pech Merle
M | Que représentent surtout les peintures des grottes préhistoriques ? | Des animaux | Des maisons | Des bateaux | Des rois


# --- La révolution néolithique ---

M | Quelle grande nouveauté marque le Néolithique ? | L'agriculture | L'écriture | Le fer | La monnaie
M | Comment appelle-t-on un homme qui se fixe en un lieu ? | Un sédentaire | Un nomade | Un migrant | Un pèlerin
M | Quel animal a été domestiqué le premier par l'homme ? | Le chien | Le cheval | Le chat | La vache
D | Dans quelle région du Proche-Orient l'agriculture est-elle née ? | Le Croissant fertile | Le Sahara | L'Anatolie centrale | La vallée de l'Indus
M | Quelle céréale a été l'une des premières cultivées au Proche-Orient ? | Le blé | Le maïs | Le riz | La pomme de terre
M | Quel objet nouveau permet au Néolithique de conserver les récoltes ? | La poterie | La roue | L'épée | La charrue
D | Comment appelle-t-on les grandes pierres dressées du Néolithique ? | Les mégalithes | Les stèles | Les obélisques | Les cippes
D | Quel site breton est célèbre pour ses alignements de pierres dressées ? | Carnac | Stonehenge | Filitosa | Newgrange
D | Quel monument mégalithique se dresse dans le sud de l'Angleterre ? | Stonehenge | Carnac | Avebury seul | Skara Brae
M | Quel métal a été travaillé après la pierre ? | Le cuivre | Le fer | L'acier | L'aluminium


# --- Premiers États, premières écritures ---

F | Quel fleuve a fait naître la civilisation égyptienne ? | Le Nil | L'Euphrate | L'Indus | Le Gange
M | Entre quels deux fleuves se trouvait la Mésopotamie ? | Le Tigre et l'Euphrate | Le Nil et le Jourdain | L'Indus et le Gange | Le Danube et le Rhin
M | Quelle écriture des Mésopotamiens se traçait sur l'argile ? | Le cunéiforme | Le hiéroglyphe | L'alphabet | Le linéaire B
M | Comment appelle-t-on l'écriture des anciens Égyptiens ? | Les hiéroglyphes | Le cunéiforme | L'alphabet grec | Les runes
D | Vers quelle date l'écriture est-elle apparue en Mésopotamie ? | Vers 3300 avant J.-C. | Vers 1000 avant J.-C. | Vers 500 après J.-C. | Vers 8000 avant J.-C.
M | Comment appelle-t-on le roi de l'Égypte ancienne ? | Le pharaon | Le calife | L'empereur | Le consul
M | Que sont les pyramides d'Égypte ? | Des tombeaux | Des temples | Des palais | Des greniers
D | Quel pharaon a fait bâtir la plus grande pyramide de Gizeh ? | Khéops | Toutânkhamon | Ramsès II | Akhenaton
M | Quel pharaon a été retrouvé intact dans son tombeau en 1922 ? | Toutânkhamon | Khéops | Ramsès II | Néfertiti
D | Quel pharaon a régné plus de soixante ans et bâti Abou Simbel ? | Ramsès II | Khéops | Thoutmôsis III | Séthi Ier
M | Sur quoi les Égyptiens écrivaient-ils ? | Le papyrus | Le parchemin | Le papier | La soie
D | Quelle ville de Mésopotamie fut célèbre pour sa tour et ses jardins ? | Babylone | Ninive | Ur | Uruk
D | Quel roi de Babylone a fait graver un célèbre code de lois ? | Hammurabi | Nabuchodonosor | Sargon | Assurbanipal
M | Comment appelle-t-on un dieu unique dans une religion ? | Le monothéisme | Le polythéisme | L'animisme | Le totémisme
M | Comment appelle-t-on une religion à plusieurs dieux ? | Le polythéisme | Le monothéisme | L'athéisme | Le déisme
M | Quel peuple de l'Antiquité a inventé le premier monothéisme durable ? | Les Hébreux | Les Égyptiens | Les Grecs | Les Perses
D | Quel livre rassemble les récits fondateurs du judaïsme ? | La Bible hébraïque | Le Coran | L'Iliade | Le Livre des morts
D | Quel roi hébreu aurait fait bâtir le Temple de Jérusalem ? | Salomon | David | Saül | Moïse
M | Quel personnage aurait conduit les Hébreux hors d'Égypte ? | Moïse | Abraham | David | Salomon


# --- Le monde des cités grecques ---

F | Quelle cité grecque était célèbre pour sa démocratie ? | Athènes | Sparte | Corinthe | Thèbes
F | Quelle cité grecque était célèbre pour ses guerriers ? | Sparte | Athènes | Delphes | Milet
M | Comment appelle-t-on une cité grecque indépendante ? | Une cité-État | Une province | Un royaume | Un empire
M | Comment appelle-t-on le gouvernement du peuple à Athènes ? | La démocratie | La monarchie | L'oligarchie | La tyrannie
D | Qui pouvait voter dans la démocratie athénienne ? | Les hommes citoyens | Tous les habitants | Les femmes aussi | Les esclaves aussi
D | Comment appelait-on l'assemblée des citoyens d'Athènes ? | L'Ecclésia | Le Sénat | La Boulê seule | L'Aréopage
M | Quelle colline d'Athènes porte le Parthénon ? | L'Acropole | L'Agora | Le Pnyx | Le Céramique
M | À quelle déesse le Parthénon était-il dédié ? | Athéna | Héra | Aphrodite | Artémis
M | Où se réunissaient les Grecs pour commercer et discuter ? | Sur l'agora | Dans l'acropole | Au gymnase | Au théâtre
M | Quel poète grec aurait composé l'Iliade et l'Odyssée ? | Homère | Hésiode | Sophocle | Hérodote
M | Quelle guerre raconte l'Iliade ? | La guerre de Troie | Les guerres médiques | La guerre du Péloponnèse | Les guerres puniques
D | Quel héros grec met dix ans à rentrer chez lui dans l'Odyssée ? | Ulysse | Achille | Hector | Ajax
M | Où se déroulaient les jeux les plus célèbres de la Grèce antique ? | À Olympie | À Delphes | À Athènes | À Sparte
D | Tous les combien se tenaient les jeux d'Olympie ? | Tous les quatre ans | Tous les ans | Tous les deux ans | Tous les dix ans
M | Quel sanctuaire grec abritait un oracle célèbre ? | Delphes | Olympie | Éleusis | Épidaure
M | Qui était le roi des dieux dans la mythologie grecque ? | Zeus | Poséidon | Hadès | Apollon
D | Quel dieu grec régnait sur la mer ? | Poséidon | Zeus | Héphaïstos | Hermès
M | Quel roi de Macédoine a conquis un immense empire au IVe siècle avant J.-C. ? | Alexandre le Grand | Philippe II | Périclès | Léonidas
D | Quel homme d'État a dirigé Athènes au Ve siècle avant J.-C. ? | Périclès | Solon | Clisthène | Thémistocle


# --- Rome, du mythe à l'histoire ---

F | Quelle ville a été fondée selon la légende par Romulus ? | Rome | Athènes | Carthage | Alexandrie
M | Quel animal aurait allaité Romulus et Rémus ? | Une louve | Une ourse | Une chèvre | Une biche
D | En quelle année la légende place-t-elle la fondation de Rome ? | 753 avant J.-C. | 509 avant J.-C. | 44 avant J.-C. | 1000 avant J.-C.
M | Quel héros troyen aurait fui vers l'Italie selon Virgile ? | Énée | Hector | Priam | Pâris
D | Quel poète latin a écrit l'Énéide ? | Virgile | Ovide | Horace | Tite-Live
M | Quel régime succède à la royauté à Rome en 509 avant J.-C. ? | La République | L'Empire | La démocratie | La tyrannie
M | Comment appelait-on les deux chefs élus de la République romaine ? | Les consuls | Les tribuns | Les préteurs | Les censeurs
D | Quelle assemblée conseillait les magistrats de la République romaine ? | Le Sénat | L'Ecclésia | La Boulê | Le Forum
M | Comment appelait-on les riches familles de la Rome antique ? | Les patriciens | Les plébéiens | Les affranchis | Les clients
M | Comment appelait-on le peuple de la Rome antique ? | Les plébéiens | Les patriciens | Les sénateurs | Les équites
M | Quelle cité d'Afrique du Nord fut la grande rivale de Rome ? | Carthage | Alexandrie | Cyrène | Numidie
M | Comment appelle-t-on les guerres entre Rome et Carthage ? | Les guerres puniques | Les guerres médiques | Les guerres serviles | Les guerres sociales
D | Quel général carthaginois a traversé les Alpes avec des éléphants ? | Hannibal | Hamilcar | Hasdrubal | Scipion
D | Quel général romain a vaincu Hannibal à Zama ? | Scipion l'Africain | César | Pompée | Marius


# --- L'empire romain ---

F | Quel général romain a conquis la Gaule ? | Jules César | Auguste | Néron | Trajan
M | Quel chef gaulois s'est rendu à César en 52 avant J.-C. ? | Vercingétorix | Brennus | Ambiorix | Arminius
M | Devant quelle place forte Vercingétorix a-t-il capitulé ? | Alésia | Gergovie | Bibracte | Lutèce
D | Quelle bataille César a-t-il perdue contre Vercingétorix ? | Gergovie | Alésia | Bibracte | Uxellodunum
M | Aux ides de quel mois Jules César a-t-il été assassiné ? | Mars | Janvier | Juillet | Septembre
M | Qui fut le premier empereur romain ? | Auguste | Jules César | Néron | Tibère
D | Quel était le nom d'Auguste avant qu'il ne devienne empereur ? | Octave | Marc Antoine | Lépide | Agrippa
M | Comment appelle-t-on la longue période de paix de l'empire romain ? | La paix romaine | La pax deorum | L'âge d'or | La concorde
M | Comment appelle-t-on l'adoption du mode de vie romain par les peuples conquis ? | La romanisation | La colonisation | L'assimilation grecque | L'hellénisation
M | Quelle langue parlait-on dans l'empire romain d'Occident ? | Le latin | Le grec | Le gaulois | Le punique
M | Quel ouvrage romain amenait l'eau jusqu'aux villes ? | L'aqueduc | Le forum | La basilique | Le cirque
D | Quel aqueduc romain enjambe le Gardon dans le sud de la France ? | Le pont du Gard | Le pont d'Avignon | Le pont Julien | L'aqueduc de Ségovie
M | Dans quel bâtiment romain se déroulaient les combats de gladiateurs ? | L'amphithéâtre | Le théâtre | Le cirque | Les thermes
D | Comment appelle-t-on le grand amphithéâtre de Rome ? | Le Colisée | Le Panthéon | Le Circus Maximus | Le Forum
M | Où les Romains couraient-ils leurs courses de chars ? | Au cirque | Au théâtre | Aux thermes | À la basilique
D | Comment appelait-on les bains publics romains ? | Les thermes | Les latrines | L'atrium | Le tepidarium seul
M | Quelle ville romaine a été ensevelie par le Vésuve en 79 ? | Pompéi | Ostie | Capoue | Ravenne
D | Quel autre site que Pompéi le Vésuve a-t-il enseveli ? | Herculanum | Paestum | Cumes | Tarente
M | Comment appelait-on les routes construites par les Romains ? | Les voies romaines | Les cardos | Les limes | Les via ferrata
D | Comment appelait-on la frontière fortifiée de l'empire romain ? | Le limes | Le pomerium | Le cardo | Le forum
D | Quel mur les Romains ont-ils bâti dans le nord de la Bretagne ? | Le mur d'Hadrien | Le mur d'Aurélien | Le mur de Servius | Le limes germanique


