# SVT — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de quatrième : la reproduction, la tectonique des plaques,
# les volcans, les séismes et l'énergie.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-4e
! nom     | SVT — 4e
! de      | de SVT — 4e
! detail  | Le programme de quatrième : reproduction, volcans, séismes.
! icone   | mountain.2
! teinte  | 0.62 0.44 0.28
! rang   | 17
! produit | com.oulhen.riskelo.pack.svt4e


# --- La tectonique des plaques ---

F | Comment appelle-t-on les grands morceaux rigides de la surface terrestre ? | Les plaques lithosphériques | Les continents seuls | Les océans | Les massifs
M | Comment appelle-t-on la théorie qui explique le mouvement de ces plaques ? | La tectonique des plaques | La dérive des continents seule | Le volcanisme | La sédimentation
M | Quel savant a proposé la dérive des continents en 1912 ? | Alfred Wegener | Charles Darwin | Louis Pasteur | James Hutton
D | Quel indice avait frappé Wegener en regardant une carte ? | Le tracé des côtes de part et d'autre | La couleur des mers | La hauteur des monts | Le sens des fleuves
M | Comment appelle-t-on le supercontinent ancien reconstitué par Wegener ? | La Pangée | La Laurasie seule | Le Gondwana seul | La Téthys
F | À quelle vitesse les plaques se déplacent-elles environ ? | Quelques centimètres par an | Un mètre par jour | Un kilomètre par an | Elles ne bougent pas
M | Comment appelle-t-on la limite où deux plaques s'écartent ? | Une dorsale océanique | Une fosse | Une faille transformante | Un rift continental seul
D | Que se forme-t-il au niveau d'une dorsale océanique ? | De la croûte océanique neuve | Une montagne | Une fosse | Un désert
M | Comment appelle-t-on la limite où une plaque plonge sous une autre ? | Une zone de subduction | Une dorsale | Une faille transformante | Un rift
M | Quel relief marque une zone de subduction en mer ? | Une fosse océanique | Une dorsale | Un plateau | Un atoll
M | Quelle fosse est la plus profonde du globe ? | La fosse des Mariannes | La fosse de Java | La fosse du Japon | La fosse de Porto Rico
F | Que se forme-t-il quand deux plaques continentales se rencontrent ? | Une chaîne de montagnes | Une fosse | Une dorsale | Un désert
M | Quelle chaîne de montagnes naît de la collision de l'Inde et de l'Asie ? | L'Himalaya | Les Andes | Les Alpes seules | Les Rocheuses
F | Quelle chaîne de montagnes borde l'ouest de l'Amérique du Sud ? | Les Andes | L'Himalaya | Les Appalaches | L'Oural
D | Quelle couche terrestre porte les plaques et se déforme lentement ? | L'asthénosphère | La croûte seule | Le noyau externe | La graine
M | Quelle est l'épaisseur moyenne de la croûte continentale ? | Environ trente kilomètres | Trois kilomètres | Trois cents kilomètres | Trois mille kilomètres
D | Quelle croûte est la plus fine, l'océanique ou la continentale ? | L'océanique | La continentale | Elles sont égales | Cela dépend des saisons
M | Quelle roche compose surtout la croûte océanique ? | Le basalte | Le granite | Le calcaire | Le marbre
M | Quelle roche compose surtout la croûte continentale ? | Le granite | Le basalte | Le grès | Le schiste


# --- Les séismes ---

F | Comment appelle-t-on une secousse brutale du sol ? | Un séisme | Une éruption | Une marée | Une avalanche
F | Quelle est la cause d'un séisme ? | La rupture brutale de roches sous contrainte | La pluie | Le vent | Les marées
M | Comment appelle-t-on le lieu souterrain où naît un séisme ? | Le foyer | L'épicentre | La faille | Le cratère
M | Comment appelle-t-on le point de la surface juste au-dessus du foyer ? | L'épicentre | Le foyer | La faille | Le cratère
