# Français — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de cinquième : les compléments, les propositions,
# les temps du récit, l'accord du participe passé et les figures de style.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-5e
! nom     | Français — 5e
! de      | de Français — 5e
! detail  | Le programme de cinquième : compléments, participe passé, style.
! icone   | text.quote
! teinte  | 0.72 0.52 0.32
! rang   | 12
! produit | com.oulhen.riskelo.pack.francais5e


# --- Les compléments ---

F | Comment appelle-t-on le complément qui répond à « quoi » après le verbe ? | Le complément d'objet direct | Le complément d'objet indirect | Le complément circonstanciel | L'attribut
F | Comment appelle-t-on le complément introduit par « à » ou « de » ? | Le complément d'objet indirect | Le complément d'objet direct | L'attribut du sujet | Le complément d'agent
M | Comment appelle-t-on le complément qui indique le moment de l'action ? | Le complément circonstanciel de temps | Le complément de lieu | Le complément de manière | Le complément d'objet
M | Comment appelle-t-on le complément qui dit de quelle façon on agit ? | Le complément circonstanciel de manière | Le complément de temps | Le complément de but | Le complément de cause
M | Comment appelle-t-on le complément qui explique pourquoi une action a lieu ? | Le complément circonstanciel de cause | Le complément de but | Le complément de temps | Le complément de moyen
M | Comment appelle-t-on le complément qui dit dans quelle intention on agit ? | Le complément circonstanciel de but | Le complément de cause | Le complément de conséquence | Le complément de moyen
M | Comment appelle-t-on le complément qui indique avec quoi on agit ? | Le complément circonstanciel de moyen | Le complément de manière | Le complément d'accompagnement | Le complément de but
M | Peut-on déplacer un complément circonstanciel dans la phrase ? | Oui, le plus souvent | Non, jamais | Seulement à la fin | Seulement au début
M | Peut-on supprimer un complément d'objet direct sans changer le sens ? | Non, il est essentiel | Oui, toujours | Seulement au pluriel | Seulement au passé
M | Comment appelle-t-on le complément qui suit un verbe à la voix passive ? | Le complément d'agent | Le complément d'objet | L'attribut du sujet | Le complément de moyen
M | Par quelle préposition le complément d'agent est-il le plus souvent introduit ? | Par | Pour | Avec | Sans
