# SVT — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de cinquième : la nutrition, la respiration, la circulation,
# les paysages et leur érosion, et la santé.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-5e
! nom     | SVT — 5e
! de      | de SVT — 5e
! detail  | Le programme de cinquième : nutrition, respiration, paysages.
! icone   | lungs
! teinte  | 0.78 0.40 0.44
! rang   | 14
! produit | com.oulhen.riskelo.pack.svt5e


# --- La digestion et la nutrition ---

F | Comment appelle-t-on l'ensemble des organes qui transforment les aliments ? | L'appareil digestif | L'appareil respiratoire | L'appareil circulatoire | L'appareil urinaire
F | Quel organe broie les aliments au début de la digestion ? | Les dents | L'estomac | Le foie | L'intestin
M | Quel liquide de la bouche commence à transformer l'amidon ? | La salive | La bile | Le suc gastrique | Le sang
F | Comment appelle-t-on le tube qui relie la bouche à l'estomac ? | L'œsophage | La trachée | Le côlon | Le duodénum
M | Quel liquide très acide agit dans l'estomac ? | Le suc gastrique | La salive | La bile | La lymphe
M | Quel organe fabrique la bile ? | Le foie | L'estomac | Le pancréas | La rate
D | Où la bile est-elle stockée avant d'être libérée ? | Dans la vésicule biliaire | Dans le foie | Dans le pancréas | Dans l'estomac
M | Quel organe fabrique des sucs qui achèvent la digestion ? | Le pancréas | Le foie | La rate | Le rein
M | Comment appelle-t-on les substances qui découpent les aliments ? | Les enzymes | Les nutriments | Les vitamines | Les fibres
M | Comment appelle-t-on les petites molécules issues de la digestion ? | Les nutriments | Les enzymes | Les déchets | Les fibres
D | Comment appelle-t-on le passage des nutriments dans le sang ? | L'absorption intestinale | La digestion | L'excrétion | La respiration
D | Quels replis de l'intestin grêle augmentent la surface d'absorption ? | Les villosités | Les alvéoles | Les néphrons | Les glomérules
M | Quelle longueur atteint environ l'intestin grêle d'un adulte ? | Environ six mètres | Environ un mètre | Environ vingt mètres | Environ dix centimètres
M | Que deviennent les aliments non digérés ? | Ils forment les excréments | Ils passent dans le sang | Ils sont respirés | Ils sont filtrés par le rein
D | Comment appelle-t-on la partie de l'intestin qui absorbe l'eau restante ? | Le gros intestin | L'intestin grêle | L'estomac | L'œsophage
D | Quels micro-organismes vivent dans notre intestin et nous aident ? | Le microbiote intestinal | Les virus | Les parasites | Les levures de boulanger
F | Comment appelle-t-on les substances indispensables en très petite quantité ? | Les vitamines | Les glucides | Les lipides | Les protides
M | Quelle vitamine le corps fabrique-t-il grâce au soleil ? | La vitamine D | La vitamine C | La vitamine A | La vitamine K
M | Quelle vitamine trouve-t-on surtout dans les agrumes ? | La vitamine C | La vitamine D | La vitamine B12 | La vitamine E
F | Comment appelle-t-on les sucres au sens des nutritionnistes ? | Les glucides | Les lipides | Les protides | Les fibres
M | Comment appelle-t-on les graisses au sens des nutritionnistes ? | Les lipides | Les glucides | Les protides | Les minéraux
M | Comment appelle-t-on les protéines au sens des nutritionnistes ? | Les protides | Les glucides | Les lipides | Les fibres
D | Quel nutriment sert surtout à construire et réparer le corps ? | Les protides | Les glucides | Les lipides | L'eau


# --- La respiration ---

