# Géographie — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de quatrième : l'urbanisation du monde, les
# mobilités humaines, et les espaces transformés par la mondialisation.
#
# Aucun énoncé ne double « geographie.txt » : un pack qui redit la banque de
# base est un pack qu'on a l'impression d'avoir déjà payé.

! id      | geographie-4e
! nom     | Géographie — 4e
! de      | de Géographie — 4e
! detail  | Le programme de quatrième : villes, migrations, mondialisation.
! icone   | globe.americas
! teinte  | 0.20 0.62 0.66
! rang   | 16
! produit | com.oulhen.riskelo.pack.geographie4e


# --- L'urbanisation du monde ---

F | Comment appelle-t-on la part de la population qui vit en ville ? | Le taux d'urbanisation | La densité | Le taux de natalité | L'exode rural
F | Depuis quelle décennie plus d'un humain sur deux vit-il en ville ? | Les années 2000 | Les années 1950 | Les années 1980 | Les années 2020
F | Comment nomme-t-on une agglomération de plus de dix millions d'habitants ? | Une mégapole | Une métropole | Une conurbation | Une capitale
M | Quel quartier d'affaires concentre les tours du centre d'une métropole ? | Le CBD | La banlieue | La périphérie | Le faubourg
M | Comment appelle-t-on l'étalement des villes sur les campagnes voisines ? | La périurbanisation | La désertification | La littoralisation | La déprise
F | Quel nom porte un quartier d'habitat précaire construit sans autorisation ? | Un bidonville | Un lotissement | Une cité-jardin | Une zone franche
D | Comment nomme-t-on deux villes qui se rejoignent en s'étalant ? | Une conurbation | Une mégalopole | Une agglomération | Une métropole
M | Quelle ville d'Asie du Sud est l'une des plus peuplées du monde ? | Bombay | Katmandou | Colombo | Achgabat
M | Dans quel pays se trouve la mégapole de Lagos ? | Le Nigeria | Le Ghana | Le Kenya | Le Sénégal
D | Comment appelle-t-on le pouvoir de commandement qu'exerce une grande ville ? | La métropolisation | La périurbanisation | La gentrification | La décentralisation
D | Quel phénomène désigne l'arrivée d'habitants aisés dans un quartier populaire ? | La gentrification | La ségrégation | L'exode rural | La reconversion
M | Sur quel continent l'urbanisation est-elle aujourd'hui la plus rapide ? | L'Afrique | L'Europe | L'Amérique du Nord | L'Océanie


# --- Les mobilités humaines transnationales ---

F | Comment appelle-t-on celui qui quitte son pays pour s'installer ailleurs ? | Un émigrant | Un immigrant | Un touriste | Un résident
F | Et celui qui arrive dans le pays d'accueil ? | Un immigrant | Un émigrant | Un expatrié | Un nomade
F | Quel statut protège celui qui fuit une persécution dans son pays ? | Le réfugié | Le migrant économique | L'apatride | L'expatrié
M | Quel texte de 1951 définit le statut de réfugié ? | La convention de Genève | Le traité de Rome | La charte de l'ONU | Les accords de Schengen
M | Quel espace européen permet de circuler sans contrôle aux frontières ? | L'espace Schengen | La zone euro | Le Conseil de l'Europe | L'Union douanière
M | Quelle mer est la plus meurtrière au monde pour les migrants ? | La Méditerranée | La mer Noire | La Baltique | La mer du Nord
F | Quel pays reçoit le plus de touristes internationaux ? | La France | L'Espagne | Les États-Unis | L'Italie
M | Comment appelle-t-on l'argent que les migrants envoient à leur famille ? | Les remises | Les subventions | Les cotisations | Les royalties
D | Quel détroit sépare le Maroc de l'Espagne ? | Le détroit de Gibraltar | Le détroit du Bosphore | Le détroit de Messine | Le détroit d'Ormuz
D | Quel type de tourisme se pratique dans les parcs naturels protégés ? | L'écotourisme | Le tourisme balnéaire | Le tourisme d'affaires | Le tourisme urbain
M | Quelle île des Caraïbes vit très largement du tourisme de croisière ? | La Jamaïque | L'Islande | Malte | Chypre


# --- Des espaces transformés par la mondialisation ---

F | Comment appelle-t-on la mise en relation de toutes les parties du monde ? | La mondialisation | La colonisation | L'urbanisation | La décentralisation
M | Comment nomme-t-on la concentration des activités sur les côtes ? | La littoralisation | La périurbanisation | La désertification | La reconversion
M | Quelle part du commerce mondial passe par la mer ? | Environ 80 % | Environ 20 % | Environ 50 % | La totalité
M | Quel pays contrôle aujourd'hui le canal de Suez ? | L'Égypte | Israël | Le Soudan | La Turquie
M | Quel État d'Amérique centrale est traversé par un canal interocéanique ? | Le Panama | Le Costa Rica | Le Honduras | Le Nicaragua
F | Comment appelle-t-on la boîte métallique qui a transformé le transport maritime ? | Le conteneur | La palette | La citerne | La soute
D | Quelle zone maritime un État contrôle-t-il jusqu'à 200 milles de ses côtes ? | La zone économique exclusive | Les eaux internationales | La mer territoriale | Le plateau continental
D | Quel pays possède la deuxième zone économique exclusive du monde ? | La France | Le Japon | Le Brésil | L'Inde
D | À quoi la France doit-elle cette immense zone maritime ? | À ses territoires ultramarins | À sa flotte | À sa façade atlantique | À ses colonies passées
M | Quel est le premier port à conteneurs du monde ? | Shanghai | Rotterdam | Singapour | Los Angeles
D | Comment nomme-t-on la façade portuaire du nord-ouest de l'Europe ? | La Northern Range | La Sun Belt | La banane bleue | La dorsale
F | Quel océan borde la façade est des États-Unis ? | L'Atlantique | Le Pacifique | L'océan Indien | L'Arctique
M | Comment appelle-t-on le Sud ensoleillé et dynamique des États-Unis ? | La Sun Belt | La Rust Belt | La Corn Belt | La Bible Belt
D | Comment appelle-t-on la région industrielle en déclin du nord-est américain ? | La Rust Belt | La Sun Belt | La Megalopolis | La Wheat Belt
D | Quelle immense ville-région s'étire de Boston à Washington ? | La Megalopolis | La Sun Belt | La Silicon Valley | La Rust Belt
M | Quelle vallée californienne concentre les entreprises du numérique ? | La Silicon Valley | La Napa Valley | La Death Valley | La Central Valley
M | Avec quels deux pays les États-Unis ont-ils signé un accord de libre-échange ? | Le Canada et le Mexique | Le Brésil et le Chili | Le Japon et la Corée | Cuba et le Panama
D | Comment appelle-t-on l'usine mexicaine qui assemble pour le marché américain ? | Une maquiladora | Une zone franche | Une plateforme | Une raffinerie
M | Quelle bande semi-aride borde le sud du Sahara ? | Le Sahel | Le Maghreb | La Corne | Le Kalahari
F | Quel fleuve d'Afrique est le plus long du continent ? | Le Nil | Le Congo | Le Niger | Le Zambèze
F | Quelle région du nord de l'Afrique regroupe le Maroc, l'Algérie et la Tunisie ? | Le Maghreb | Le Machrek | Le Sahel | La Corne
D | Quelle région forme la pointe est de l'Afrique ? | La Corne de l'Afrique | Le Maghreb | Le Sahel | Le Katanga
M | Quel pays d'Afrique a le produit intérieur brut le plus élevé ? | Le Nigeria | Le Kenya | Le Sénégal | Le Maroc
D | Comment appelle-t-on l'achat de vastes terres agricoles par des étrangers ? | L'accaparement des terres | Le remembrement | La jachère | La déprise
F | Quelle ressource fait la richesse de l'Angola et du Nigeria ? | Le pétrole | Le charbon | Le cuivre | L'or
D | Quel métal, indispensable aux téléphones, vient surtout du Congo ? | Le cobalt | Le nickel | Le zinc | Le plomb
M | Comment nomme-t-on un pays dont l'économie dépend d'une seule ressource ? | Une économie de rente | Une économie mixte | Une économie fermée | Une économie de subsistance
D | Quelle organisation régionale réunit les États du continent africain ? | L'Union africaine | La Ligue arabe | Le Commonwealth | La Francophonie
M | Quelle ville d'Afrique du Sud est la capitale économique du pays ? | Johannesburg | Le Cap | Durban | Pretoria
D | Comment appelle-t-on les pays dont l'économie décolle rapidement ? | Les pays émergents | Les pays développés | Les pays rentiers | Les pays neutres


# --- Compléments : villes et urbanisation ---

F | Quelle ville est la plus peuplée du monde avec son agglomération ? | Tokyo | Londres | New York | Le Caire
F | Sur quel continent se trouve la mégapole de Shanghai ? | L'Asie | L'Afrique | L'Europe | L'Amérique
M | Quelle mégapole d'Amérique du Sud dépasse vingt millions d'habitants ? | São Paulo | Lima | Santiago | Caracas
M | Quelle capitale d'Amérique du Nord dépasse vingt millions d'habitants ? | Mexico | Ottawa | Washington | La Havane
M | Quelle mégapole indienne s'appelait autrefois Calcutta ? | Kolkata | Chennai | Bengaluru | Hyderabad
D | Quel bidonville de Bombay est l'un des plus grands du monde ? | Dharavi | Kibera | Rocinha | Orangi
D | Comment appelle-t-on les bidonvilles au Brésil ? | Les favelas | Les townships | Les bustees | Les gecekondu
D | Comment appelle-t-on les quartiers noirs hérités de l'apartheid en Afrique du Sud ? | Les townships | Les favelas | Les barrios | Les kampungs
M | Quelle ville chinoise était un village de pêcheurs devenu mégapole ? | Shenzhen | Pékin | Xi'an | Harbin
M | Quel quartier de New York concentre les gratte-ciel de bureaux ? | Manhattan | Le Bronx | Queens | Staten Island
D | Comment appelle-t-on la fermeture volontaire d'un quartier résidentiel riche ? | Une résidence fermée | Un écoquartier | Un lotissement social | Une zone franche
M | Quel problème d'air frappe les grandes villes d'Asie ? | La pollution atmosphérique | Le manque de soleil | Le froid extrême | La sécheresse permanente
M | Comment appelle-t-on la chaleur excessive d'un centre-ville l'été ? | L'îlot de chaleur urbain | L'effet de serre | L'inversion thermique | La canicule marine
D | Comment appelle-t-on une ville pensée pour limiter son empreinte écologique ? | Une ville durable | Une ville nouvelle | Une ville franche | Une ville-dortoir
M | Quel transport collectif équipe les grandes villes du monde entier ? | Le métro | Le téléphérique | Le funiculaire | Le tramway à cheval
M | Comment appelle-t-on l'inégalité entre quartiers riches et pauvres ? | La ségrégation socio-spatiale | La densification | La rénovation | La réhabilitation
D | Quelle capitale africaine dépasse aujourd'hui quinze millions d'habitants ? | Le Caire | Nairobi | Dakar | Accra
M | Quelle part de l'humanité vivra en ville en 2050 selon l'ONU ? | Environ deux sur trois | Un sur trois | Un sur dix | La totalité


# --- Compléments : migrations et tourisme ---

F | Comment appelle-t-on une personne qui se déplace d'un pays à un autre ? | Un migrant | Un sédentaire | Un citoyen | Un résident
M | Quelle est la première cause des migrations dans le monde ? | Le travail | La guerre | Le climat | Les études
M | Comment appelle-t-on celui qui fuit une catastrophe naturelle ? | Un déplacé environnemental | Un expatrié | Un apatride | Un touriste
D | Combien de migrants internationaux compte-t-on environ dans le monde ? | Environ 280 millions | Environ un milliard | Environ 50 millions | Environ dix millions
M | Quel pays accueille le plus d'immigrés au monde ? | Les États-Unis | La France | Le Japon | Le Brésil
D | Quel pays du Golfe compte une majorité d'étrangers dans sa population ? | Les Émirats arabes unis | L'Arabie saoudite | L'Iran | L'Irak
M | Quel désert traversent de nombreux migrants vers l'Europe ? | Le Sahara | Le Gobi | L'Atacama | Le Kalahari
