# Français — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de sixième : la nature des mots, la phrase, les
# temps simples, les accords, les homophones et les premiers textes.
#
# Un piège propre à ce thème : l'énoncé ne porte qu'un seul point
# d'interrogation. On ne cite donc jamais de phrase interrogative en exemple.

! id      | francais-6e
! nom     | Français — 6e
! de      | de Français — 6e
! detail  | Le programme de sixième : nature des mots, temps, accords.
! icone   | character.book.closed
! teinte  | 0.80 0.46 0.46
! rang   | 8
! produit | com.oulhen.riskelo.pack.francais6e


# --- La nature des mots ---

F | Quelle est la nature du mot « rapidement » ? | Un adverbe | Un adjectif | Un nom | Un verbe
F | Quelle est la nature du mot « chien » ? | Un nom commun | Un verbe | Un adverbe | Une préposition
F | Quelle est la nature du mot « le » devant un nom ? | Un article défini | Un pronom sujet | Un adjectif | Une conjonction
F | Quelle est la nature du mot « un » devant un nom ? | Un article indéfini | Un article défini | Un adverbe | Un pronom
M | Quelle est la nature du mot « bleu » dans « un ciel bleu » ? | Un adjectif qualificatif | Un nom | Un adverbe | Un verbe
F | Quelle est la nature du mot « il » ? | Un pronom personnel | Un article | Un adverbe | Un adjectif
M | Quelle est la nature du mot « mon » dans « mon livre » ? | Un déterminant possessif | Un pronom possessif | Un adjectif qualificatif | Un article
M | Quelle est la nature du mot « ce » dans « ce livre » ? | Un déterminant démonstratif | Un pronom démonstratif | Un article défini | Un adverbe
M | Quelle est la nature du mot « dans » ? | Une préposition | Une conjonction | Un adverbe | Un pronom
M | Quelle est la nature du mot « mais » ? | Une conjonction de coordination | Une préposition | Un adverbe | Un pronom
D | Combien y a-t-il de conjonctions de coordination en français ? | Sept | Cinq | Trois | Dix
D | Quelle est la nature du mot « qui » dans « le livre qui traîne » ? | Un pronom relatif | Un pronom personnel | Un déterminant | Une conjonction
M | Quelle est la nature du mot « trois » dans « trois chats » ? | Un déterminant numéral | Un nom | Un adjectif qualificatif | Un adverbe
D | Quelle est la nature du mot « très » ? | Un adverbe | Un adjectif | Une préposition | Un déterminant
F | Comment appelle-t-on un mot qui désigne une personne ou une chose ? | Un nom | Un verbe | Un adverbe | Une préposition
M | Comment appelle-t-on le mot qui accompagne le nom et le précède ? | Un déterminant | Un adverbe | Un pronom | Une conjonction


# --- La phrase ---

F | Comment appelle-t-on une phrase qui se termine par un point ? | Une phrase déclarative | Une phrase interrogative | Une phrase exclamative | Une phrase impérative
M | Comment appelle-t-on une phrase qui donne un ordre ? | Une phrase injonctive | Une phrase déclarative | Une phrase interrogative | Une phrase exclamative
F | Quel signe termine une phrase exclamative ? | Le point d'exclamation | Le point | Les deux-points | La virgule
M | Quel signe sépare les éléments d'une énumération ? | La virgule | Le point | Le tiret | Les guillemets
M | Quel signe annonce une explication ou une citation ? | Les deux-points | La virgule | Le point-virgule | Le tiret
M | Quel signe encadre les paroles rapportées directement ? | Les guillemets | Les parenthèses | Les crochets | Les accolades
M | Comment appelle-t-on une phrase qui ne contient qu'un seul verbe conjugué ? | Une phrase simple | Une phrase complexe | Une proposition subordonnée | Une phrase nominale
M | Comment appelle-t-on une phrase sans verbe conjugué ? | Une phrase nominale | Une phrase verbale | Une phrase complexe | Une phrase impérative
D | Comment appelle-t-on une phrase qui contient plusieurs verbes conjugués ? | Une phrase complexe | Une phrase simple | Une phrase nominale | Une phrase minimale
M | Quelle est la fonction du groupe qui fait l'action du verbe ? | Sujet | Complément d'objet | Complément circonstanciel | Attribut
M | Quelle est la fonction du groupe qui subit l'action du verbe ? | Complément d'objet direct | Sujet | Attribut du sujet | Complément d'agent
D | Quelle question pose-t-on au verbe pour trouver le complément d'objet direct ? | Quoi ou qui | Où | Quand | Comment
D | Comment appelle-t-on le mot relié au sujet par le verbe « être » ? | L'attribut du sujet | Le complément d'objet | L'apposition | L'épithète
M | Quelle est la fonction d'un groupe qui indique le lieu ? | Complément circonstanciel de lieu | Sujet | Attribut | Complément d'objet
D | Comment appelle-t-on l'adjectif placé juste à côté du nom ? | Une épithète | Un attribut | Une apposition | Un complément


# --- Les accords ---

F | Avec quel mot le verbe s'accorde-t-il ? | Le sujet | Le complément | L'adjectif | L'adverbe
F | Avec quoi l'adjectif qualificatif s'accorde-t-il ? | Le nom qu'il qualifie | Le verbe | L'adverbe | Le sujet du verbe seulement
F | Quel est le pluriel de « cheval » ? | Chevaux | Chevals | Chevaus | Chevalles
M | Quel est le pluriel de « journal » ? | Journaux | Journals | Journeaux | Journalles
M | Quel est le pluriel de « bijou » ? | Bijoux | Bijous | Bijoues | Bijoux et bijous
M | Quel est le pluriel de « pneu » ? | Pneus | Pneux | Pneues | Pneuz
D | Quel est le pluriel de « bal » ? | Bals | Baux | Balles | Balaux
D | Quel est le pluriel de « festival » ? | Festivals | Festivaux | Festivales | Festivalles
M | Quel est le pluriel de « travail » ? | Travaux | Travails | Travailles | Travaus
