# Français — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de troisième : la maîtrise de la phrase complexe,
# l'argumentation, les registres, et la littérature du XXe siècle.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-3e
! nom     | Français — 3e
! de      | de Français — 3e
! detail  | Le programme de troisième : phrase complexe, argumenter, écrire.
! icone   | text.justify
! teinte  | 0.46 0.40 0.64
! rang   | 20
! produit | com.oulhen.riskelo.pack.francais3e


# --- La phrase complexe ---

F | Combien de propositions compte une phrase complexe au minimum ? | Deux | Une | Trois | Quatre
F | Comment repère-t-on le nombre de propositions d'une phrase ? | En comptant les verbes conjugués | En comptant les virgules | En comptant les noms | En comptant les mots
M | Comment appelle-t-on une subordonnée qui exprime la comparaison ? | Une circonstancielle de comparaison | Une complétive | Une relative | Une consécutive
M | Quelle conjonction introduit une subordonnée de comparaison ? | Comme | Parce que | Bien que | Pour que
D | Comment appelle-t-on une subordonnée construite sans mot subordonnant ? | Une participiale | Une complétive | Une relative | Une conjonctive
D | Quel mode porte le verbe d'une proposition participiale ? | Le participe | L'infinitif | Le subjonctif | L'impératif
D | Comment appelle-t-on une subordonnée dont le verbe est à l'infinitif ? | Une infinitive | Une participiale | Une complétive | Une relative
M | Quelle fonction occupe une subordonnée relative dans la phrase ? | Complément de l'antécédent | Sujet | Complément d'objet | Attribut
D | Quel pronom relatif s'emploie après une préposition pour désigner une personne ? | Qui | Que | Dont | Quoi
D | Quel pronom relatif composé s'emploie après une préposition pour une chose ? | Lequel | Qui | Que | Dont
D | Que devient « à lequel » dans la langue correcte ? | Auquel | Àlequel | Au lequel | À quel
D | Que devient « de lesquels » dans la langue correcte ? | Desquels | De lesquels | Duquels | Deslesquels
M | Comment appelle-t-on l'ensemble formé par la principale et ses subordonnées ? | La phrase complexe | Le groupe nominal | La proposition | Le paragraphe
M | Une subordonnée peut-elle contenir elle-même une subordonnée ? | Oui, on parle d'enchâssement | Non, jamais | Seulement au passé | Seulement à l'oral


# --- Argumenter ---

F | Comment appelle-t-on l'idée principale que défend un texte argumentatif ? | La thèse | L'argument | L'exemple | Le connecteur
F | Comment appelle-t-on l'idée que l'auteur combat ? | La thèse adverse | La thèse défendue | L'argument | L'exemple
M | Comment appelle-t-on le fait de reconnaître une part de vérité à l'adversaire ? | La concession | La réfutation | L'illustration | La conclusion
M | Comment appelle-t-on le fait de démonter l'argument adverse ? | La réfutation | La concession | L'illustration | La reformulation
F | Quel connecteur logique introduit une conséquence ? | Donc | Car | Mais | Or
F | Quel connecteur logique introduit une cause ? | Car | Donc | Ainsi | Pourtant
F | Quel connecteur logique introduit une opposition ? | Cependant | Donc | Ainsi | Car
M | Quel connecteur logique introduit une addition d'arguments ? | De plus | Donc | Car | Cependant
M | Quel connecteur logique annonce le dernier argument ? | Enfin | D'abord | Ensuite | Or
F | Comment appelle-t-on un fait précis qui appuie un argument ? | Un exemple | Une thèse | Un connecteur | Une concession
M | Comment appelle-t-on un raisonnement qui va du général au particulier ? | La déduction | L'induction | L'analogie | L'antithèse
M | Comment appelle-t-on un raisonnement qui va du particulier au général ? | L'induction | La déduction | L'analogie | La concession
D | Comment appelle-t-on un raisonnement qui rapproche deux situations ? | L'analogie | La déduction | L'induction | La réfutation
D | Comment appelle-t-on un raisonnement qui pousse une idée jusqu'à l'absurde ? | Le raisonnement par l'absurde | La déduction | L'analogie | L'induction
M | Comment appelle-t-on un texte qui cherche à faire rire pour critiquer ? | Un texte satirique | Un texte lyrique | Un texte épique | Un texte didactique
M | Comment appelle-t-on le fait de dire le contraire de ce que l'on pense ? | L'ironie | La litote | L'hyperbole | L'antithèse
M | Comment appelle-t-on un discours prononcé devant un auditoire pour convaincre ? | Un discours argumentatif | Une description | Un récit | Un dialogue


# --- Les registres et le style ---

F | Comment appelle-t-on le registre qui exprime les sentiments personnels ? | Le registre lyrique | Le registre épique | Le registre comique | Le registre tragique
F | Comment appelle-t-on le registre qui grandit les exploits ? | Le registre épique | Le registre lyrique | Le registre satirique | Le registre pathétique
M | Comment appelle-t-on le registre qui suscite la pitié ? | Le registre pathétique | Le registre comique | Le registre épique | Le registre didactique
M | Comment appelle-t-on le registre qui montre un destin sans issue ? | Le registre tragique | Le registre comique | Le registre lyrique | Le registre didactique
M | Comment appelle-t-on le registre qui cherche à instruire ? | Le registre didactique | Le registre lyrique | Le registre épique | Le registre pathétique
M | Comment appelle-t-on l'accumulation de termes de même nature ? | Une énumération | Une antithèse | Une ellipse | Une anaphore
M | Comment appelle-t-on une gradation d'intensité croissante ? | Une gradation | Une énumération | Une antithèse | Une répétition
D | Comment appelle-t-on l'emploi d'une partie pour désigner le tout ? | Une synecdoque | Une métonymie | Une métaphore | Une périphrase
D | Comment appelle-t-on l'emploi du contenant pour le contenu ? | Une métonymie | Une synecdoque | Une comparaison | Une hyperbole
M | Comment appelle-t-on une question qui n'attend pas de réponse ? | Une question oratoire | Une interrogation directe | Une interrogation indirecte | Une exclamation
D | Comment appelle-t-on l'adresse directe à un absent ou à une chose ? | Une apostrophe | Une incise | Une apposition | Une antithèse
F | Comment appelle-t-on la façon particulière d'écrire d'un auteur ? | Son style | Son registre | Son genre | Son thème
D | Comment appelle-t-on l'imitation moqueuse du style d'un auteur ? | Un pastiche | Un plagiat | Une citation | Une traduction


# --- L'orthographe des cas rares ---

M | Comment s'accorde le participe passé d'un verbe pronominal réciproque ? | Avec le complément direct antéposé | Toujours avec le sujet | Jamais | Avec l'adverbe
D | Comment s'accorde « les mains qu'elles se sont lavées » ? | Le participe s'accorde | Le participe reste invariable | Le participe prend un s seul | Le participe prend un e seul
D | Comment s'accorde « elles se sont lavé les mains » ? | Le participe reste invariable | Le participe s'accorde | Il prend un s | Il prend un es
D | Pourquoi le participe reste-t-il invariable dans ce dernier cas ? | Le complément direct suit le verbe | Le sujet est féminin | Le verbe est pronominal | Le complément est indirect
D | Comment s'accorde le participe passé de « coûter » au sens propre ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Comment s'accorde le participe passé de « vivre » employé au sens figuré ? | Il s'accorde | Il reste invariable | Il prend un s seul | Il prend un e seul
D | Comment s'écrit « quelles que soient » devant un nom féminin pluriel ? | En deux mots avec accord | En un mot | Sans accord | Avec un trait d'union
D | Comment s'accorde « tel » dans « tel père, tel fils » ? | Avec le nom qui suit | Avec le nom qui précède | Il reste invariable | Avec le sujet
D | Comment s'accorde « tel que » dans une comparaison ? | Avec le nom qui précède | Avec le nom qui suit | Il reste invariable | Avec le verbe
D | Comment s'accorde le mot « possible » après un superlatif ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Comment s'accorde « étant donné » placé devant le nom ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Comment s'écrit « y compris » placé devant le nom ? | Invariable | Accordé en genre | Accordé en nombre | Accordé des deux
D | Comment s'accorde « ci-joint » placé après le nom ? | Il s'accorde | Il reste invariable | Il prend un s seul | Il prend un e seul


# --- La littérature du XXe siècle ---

F | Quel écrivain français a écrit « Le Petit Prince » ? | Antoine de Saint-Exupéry | Albert Camus | Jean Giono | Marcel Pagnol
F | Quel écrivain a écrit « L'Étranger » ? | Albert Camus | Jean-Paul Sartre | André Gide | Louis Aragon
F | Quel écrivain a écrit « La Peste » ? | Albert Camus | Jean-Paul Sartre | Simone de Beauvoir | André Malraux
