# Français — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de quatrième : les subordonnées, le discours
# rapporté, les modes, les homophones difficiles et le XIXe siècle.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-4e
! nom     | Français — 4e
! de      | de Français — 4e
! detail  | Le programme de quatrième : subordonnées, modes, difficultés.
! icone   | text.alignleft
! teinte  | 0.50 0.56 0.32
! rang   | 14
! produit | com.oulhen.riskelo.pack.francais4e


# --- Les subordonnées ---

F | Comment appelle-t-on une proposition qui dépend d'une autre ? | Une subordonnée | Une principale | Une indépendante | Une coordonnée
M | Quelle conjonction introduit le plus souvent une subordonnée complétive ? | Que | Qui | Dont | Où
M | Comment appelle-t-on la subordonnée qui complète un verbe comme « penser » ? | Une complétive | Une relative | Une circonstancielle | Une infinitive
M | Comment appelle-t-on la subordonnée qui indique le moment de l'action ? | Une circonstancielle de temps | Une complétive | Une relative | Une circonstancielle de but
F | Quelle conjonction introduit une subordonnée de cause ? | Parce que | Pour que | Bien que | Si bien que
F | Quelle conjonction introduit une subordonnée de but ? | Pour que | Parce que | Puisque | Alors que
M | Quelle conjonction introduit une subordonnée de conséquence ? | Si bien que | Pour que | Bien que | Parce que
M | Quelle conjonction introduit une subordonnée d'opposition ? | Bien que | Parce que | Si bien que | Dès que
M | Quel mode suit la conjonction « bien que » ? | Le subjonctif | L'indicatif | Le conditionnel | L'impératif
M | Quel mode suit la conjonction « pour que » ? | Le subjonctif | L'indicatif | Le conditionnel | Le participe
F | Quel mode suit la conjonction « parce que » ? | L'indicatif | Le subjonctif | Le conditionnel | L'impératif
M | Quelle subordonnée exprime une condition ? | La subordonnée de condition | La complétive | La relative | La consécutive
F | Quel mot introduit le plus souvent une subordonnée de condition ? | Si | Que | Dont | Comme
M | Quel temps suit « si » quand la principale est au conditionnel présent ? | L'imparfait | Le conditionnel | Le futur | Le subjonctif
D | Quel temps suit « si » quand la principale est au conditionnel passé ? | Le plus-que-parfait | L'imparfait | Le passé simple | Le futur antérieur
M | Peut-on employer le conditionnel juste après « si » de condition ? | Non | Oui | Parfois | Toujours
M | Comment appelle-t-on la subordonnée qui complète un nom ? | Une relative | Une complétive | Une circonstancielle | Une infinitive
M | Comment appelle-t-on une relative qui apporte une information non essentielle ? | Une relative explicative | Une relative déterminative | Une complétive | Une consécutive
D | Quel signe encadre une relative explicative ? | La virgule | Le point-virgule | Les parenthèses seules | Le tiret


# --- Le discours rapporté ---

F | Comment appelle-t-on les paroles citées entre guillemets ? | Le discours direct | Le discours indirect | Le discours narrativisé | Le monologue
M | Comment appelle-t-on les paroles rapportées sans guillemets par une subordonnée ? | Le discours indirect | Le discours direct | Le discours narrativisé | Le dialogue
M | Comment appelle-t-on les paroles fondues dans le récit sans marque nette ? | Le discours indirect libre | Le discours direct | Le discours indirect | Le monologue intérieur
F | Quel signe introduit une réplique dans un dialogue de roman ? | Le tiret | La parenthèse | Le point-virgule | L'astérisque
M | Comment appelle-t-on le verbe qui introduit les paroles rapportées ? | Un verbe de parole | Un verbe d'état | Un verbe pronominal | Un verbe impersonnel
M | Que devient le présent du discours direct au discours indirect passé ? | Il devient imparfait | Il reste présent | Il devient futur | Il devient passé simple
D | Que devient le futur du discours direct au discours indirect passé ? | Il devient conditionnel présent | Il reste futur | Il devient imparfait | Il devient subjonctif
M | Que devient « demain » au discours indirect au passé ? | Le lendemain | Aujourd'hui | Hier | La veille
D | Que devient « hier » au discours indirect au passé ? | La veille | Le lendemain | Demain | Aujourd'hui
M | Comment appelle-t-on la proposition insérée après une parole rapportée ? | Une incise | Une apposition | Une relative | Une complétive
D | Que fait-on du sujet et du verbe dans une incise ? | On les inverse | On les supprime | On les répète | On les sépare d'un point


# --- Les homophones difficiles ---

M | Comment s'écrit « quel que » devant le verbe « être » ? | En deux mots | En un mot | Avec un trait d'union | Avec une apostrophe
M | Comment s'écrit « quelque » au sens de « un certain » ? | En un mot | En deux mots | Avec un trait d'union | Avec une apostrophe
M | Comment s'écrit « quoique » au sens de « bien que » ? | En un mot | En deux mots | Avec un trait d'union | Avec une apostrophe
M | Comment s'écrit « quoi que » au sens de « quelle que soit la chose que » ? | En deux mots | En un mot | Avec un trait d'union | Avec un accent
M | Comment s'écrit « parce que » qui exprime la cause ? | En deux mots | En un mot | Avec un trait d'union | Avec une apostrophe
D | Comment s'écrit « par ce que » au sens de « par la chose que » ? | En trois mots | En deux mots | En un mot | Avec un trait d'union
F | Comment s'écrit « davantage » au sens de « plus » ? | En un mot | En deux mots | Avec un trait d'union | Avec un accent
D | Comment s'écrit « d'avantage » au sens de « de bénéfice » ? | Avec une apostrophe | En un mot | Avec un trait d'union | Avec un accent
F | Comment s'écrit « bientôt » au sens de « dans peu de temps » ? | En un mot | En deux mots | Avec un trait d'union | Avec un accent grave
D | Comment s'écrit « bien tôt » au sens de « très tôt » ? | En deux mots | En un mot | Avec un trait d'union | Avec un accent
