# Géographie — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de troisième : les dynamiques territoriales de la
# France, l'aménagement du territoire, et la France dans l'Union européenne.
#
# Aucun énoncé ne double les autres fichiers de questions.

! id      | geographie-3e
! nom     | Géographie — 3e
! de      | de Géographie — 3e
! detail  | Le programme de troisième : la France, ses territoires, l'Europe.
! icone   | map
! teinte  | 0.30 0.56 0.46
! rang   | 16
! produit | com.oulhen.riskelo.pack.geographie3e


# --- Les aires urbaines ---

F | Comment appelle-t-on une ville et les communes qui vivent d'elle ? | Une aire urbaine | Un département | Un canton | Une région
F | Quelle part des Français vit dans une aire urbaine ? | Plus de huit sur dix | Un sur deux | Un sur quatre | La totalité
M | Comment nomme-t-on le cœur bâti et continu d'une aire urbaine ? | Le pôle urbain | La couronne | Le canton | L'arrière-pays
M | Comment appelle-t-on les communes d'où l'on part travailler en ville ? | La couronne périurbaine | Le centre-ville | La zone franche | Le bassin minier
M | Quel déplacement quotidien relie le domicile au travail ? | La migration pendulaire | L'exode rural | La transhumance | L'émigration
F | Quelle est l'aire urbaine la plus peuplée de France ? | Paris | Lyon | Marseille | Lille
M | Quelle est la deuxième aire urbaine française par la population ? | Lyon | Marseille | Toulouse | Bordeaux
F | Comment appelle-t-on une grande ville qui commande un vaste territoire ? | Une métropole | Une préfecture | Une sous-préfecture | Une capitale
D | Quelle loi de 2014 a créé un statut de métropole en France ? | La loi MAPTAM | La loi Defferre | La loi NOTRe | La loi Chevènement
F | Comment nomme-t-on le quartier d'affaires de l'ouest parisien ? | La Défense | Le Marais | La Villette | Bercy
M | Comment appelle-t-on l'arrivée d'habitants aisés qui transforme un quartier ? | La gentrification | La rénovation | La densification | La réhabilitation
D | Comment nomme-t-on l'espace de transition entre ville et campagne ? | L'espace périurbain | L'espace rural profond | La conurbation | Le bassin de vie
M | Que sont les grands ensembles construits en France après 1945 ? | Des barres et des tours | Des lotissements | Des hameaux | Des faubourgs
D | Quelle politique s'occupe des quartiers en difficulté ? | La politique de la ville | La politique agricole | L'aménagement rural | La décentralisation
M | Quel étalement des maisons individuelles grignote les campagnes ? | Le mitage | Le remembrement | Le lotissement | La jachère


# --- Les espaces productifs ---

F | Comment appelle-t-on un espace organisé pour produire des richesses ? | Un espace productif | Un espace protégé | Une aire urbaine | Un bassin de vie
F | Quel secteur emploie aujourd'hui les trois quarts des Français ? | Les services | L'industrie | L'agriculture | Le bâtiment
M | Comment appelle-t-on le secteur des services ? | Le tertiaire | Le primaire | Le secondaire | Le quaternaire
M | Quel secteur regroupe l'agriculture et la pêche ? | Le primaire | Le secondaire | Le tertiaire | L'artisanat
M | Quel rang la France occupe-t-elle parmi les puissances agricoles européennes ? | Le premier | Le troisième | Le cinquième | Le dixième
M | Quelle grande plaine du Bassin parisien produit surtout des céréales ? | La Beauce | La Camargue | Les Landes | Le Cotentin
M | Quelle région française produit le plus de vin en volume ? | L'Occitanie | La Normandie | Les Hauts-de-France | La Bretagne
D | Comment appelle-t-on une agriculture qui cherche le plus haut rendement ? | L'agriculture productiviste | L'agriculture vivrière | L'agriculture biologique | La polyculture
D | Quel élevage domine en Bretagne ? | Le porc et la volaille | Le mouton | Le cheval | La chèvre
M | Comment nomme-t-on la perte d'emplois industriels d'une région ? | La désindustrialisation | La délocalisation | La reconversion | La dévitalisation
M | Quelle région du Nord a dû se reconvertir après la fin du charbon ? | Les Hauts-de-France | La Bretagne | L'Alsace | La Corse
D | Comment appelle-t-on un site qui réunit recherche et industrie de pointe ? | Un technopôle | Une zone franche | Un district | Un pôle rural
D | Quelle technopole se trouve près d'Antibes ? | Sophia Antipolis | La Défense | Saclay | Eurotunnel
F | Quelle ville française est la capitale de l'aéronautique ? | Toulouse | Nantes | Grenoble | Strasbourg
F | Quel constructeur aéronautique européen est assemblé à Toulouse ? | Airbus | Boeing | Embraer | Bombardier
D | Comment appelle-t-on le déplacement d'une usine vers un pays à bas salaires ? | La délocalisation | La reconversion | L'externalisation | La sous-traitance
F | Quel est le premier port de commerce français ? | Marseille | Le Havre | Dunkerque | Nantes
M | Quel port de la Manche est la porte maritime de Paris ? | Le Havre | Calais | Cherbourg | Dieppe
D | Comment appelle-t-on l'axe Le Havre-Rouen-Paris ? | La vallée de la Seine | Le sillon rhodanien | La dorsale | L'axe atlantique
F | Quel pays reçoit le plus de touristes étrangers, grâce entre autres à Paris ? | La France | L'Italie | L'Espagne | La Grèce
F | Quel massif français attire le plus de skieurs ? | Les Alpes | Les Vosges | Le Jura | Les Ardennes
D | Quelle station balnéaire du Languedoc a été bâtie de toutes pièces ? | La Grande-Motte | Deauville | Biarritz | Saint-Tropez


# --- Les espaces de faible densité ---

M | Comment appelle-t-on un espace où vivent peu d'habitants au kilomètre carré ? | Un espace de faible densité | Une aire urbaine | Un pôle secondaire | Une conurbation
D | Comment nomme-t-on la bande peu peuplée qui traverse la France en diagonale ? | La diagonale du vide | Le croissant fertile | Le sillon alpin | La dorsale
M | Quelle est la densité moyenne de population de la France métropolitaine ? | Environ 120 habitants au km² | Environ 20 | Environ 400 | Environ 800
M | Quel massif du centre de la France est peu peuplé ? | Le Massif central | Le Bassin parisien | Le Bassin aquitain | Le Nord
D | Comment appelle-t-on le départ des habitants qui vide un territoire ? | La déprise | Le mitage | Le remembrement | La densification
M | Quelle activité fait vivre beaucoup d'espaces ruraux aujourd'hui ? | Le tourisme vert | L'industrie lourde | La finance | La construction navale
D | Comment appelle-t-on un territoire rural protégé et habité ? | Un parc naturel régional | Une réserve intégrale | Une zone franche | Un site classé
M | Quel type de parc protège les milieux les plus fragiles, comme la Vanoise ? | Un parc national | Un parc régional | Un parc départemental | Un parc urbain
D | Comment appelle-t-on un espace rural qui vit de la ville proche ? | Un espace rural sous influence urbaine | Un désert | Un arrière-pays isolé | Une friche
M | Quel problème frappe les habitants ruraux privés de médecins ? | Le désert médical | La fracture numérique | L'enclavement | La déprise


# --- Aménager le territoire ---

F | Comment appelle-t-on l'action publique qui organise un territoire ? | L'aménagement du territoire | La décentralisation | L'urbanisation | La régionalisation
M | Quel écart l'aménagement cherche-t-il à réduire ? | Les inégalités entre territoires | Les écarts d'âge | Les écarts scolaires | Les écarts de climat
D | Quel organisme créé en 1963 a longtemps mené l'aménagement français ? | La DATAR | L'INSEE | L'ADEME | La CNIL
