# Histoire — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de cinquième : chrétientés et islam, l'Occident
# féodal, et l'ouverture de l'Europe sur le monde aux XVIe et XVIIe siècles.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | histoire-5e
! nom     | Histoire — 5e
! de      | d'Histoire — 5e
! detail  | Le programme de cinquième : Moyen Âge, islam, Renaissance.
! icone   | crown
! teinte  | 0.56 0.32 0.58
! rang   | 11
! produit | com.oulhen.riskelo.pack.histoire5e


# --- Byzance et l'Europe carolingienne ---

F | Quel empire a survécu à la chute de Rome en Orient ? | L'empire byzantin | L'empire perse | L'empire ottoman | L'empire carolingien
M | Quelle ville s'appelait Byzance avant de devenir capitale d'empire ? | Constantinople | Athènes | Antioche | Alexandrie
M | Quel empereur byzantin a fait bâtir Sainte-Sophie ? | Justinien | Constantin | Basile II | Héraclius
D | Quel recueil de lois romaines Justinien a-t-il fait rassembler ? | Le Code justinien | Le Code noir | Le Code civil | Les Douze Tables
M | Quelle langue parlait-on dans l'empire byzantin ? | Le grec | Le latin | L'arabe | Le slavon
M | Quelle religion chrétienne est née de la séparation de 1054 ? | L'orthodoxie | Le protestantisme | Le catharisme | L'anglicanisme
D | Comment appelle-t-on la séparation des Églises d'Orient et d'Occident ? | Le schisme | La réforme | Le concile | L'anathème
F | Quel roi des Francs a été sacré empereur en l'an 800 ? | Charlemagne | Clovis | Pépin le Bref | Hugues Capet
M | Dans quelle ville Charlemagne a-t-il été couronné empereur ? | Rome | Aix-la-Chapelle | Reims | Paris
M | Quelle ville Charlemagne avait-il choisie pour capitale ? | Aix-la-Chapelle | Paris | Reims | Metz
D | Quel traité de 843 partage l'empire de Charlemagne ? | Le traité de Verdun | Le traité de Meaux | Le traité de Coulaines | Le traité de Ribemont
M | Quel roi franc a reçu le baptême après la bataille de Tolbiac ? | Clovis | Charlemagne | Dagobert | Clotaire
M | Dans quelle ville Clovis aurait-il été baptisé ? | Reims | Paris | Tours | Soissons
M | Quelle dynastie succède aux Mérovingiens en 751 ? | Les Carolingiens | Les Capétiens | Les Valois | Les Bourbons
D | Comment appelait-on les envoyés de Charlemagne qui inspectaient l'empire ? | Les missi dominici | Les comtes | Les ducs | Les baillis
F | Quel peuple venu du nord a pillé les côtes de l'Europe au IXe siècle ? | Les Vikings | Les Mongols | Les Huns | Les Maures


# --- L'islam, des origines à Bagdad ---

F | Dans quelle péninsule l'islam est-il né ? | L'Arabie | L'Anatolie | Les Balkans | Le Sinaï
M | En quelle année a lieu l'hégire, départ de l'ère musulmane ? | 622 | 570 | 732 | 800
D | Que désigne l'hégire dans l'histoire de l'islam ? | Le départ de La Mecque vers Médine | La conquête de l'Égypte | La mort du Prophète | La fondation de Bagdad
F | Quel livre est le texte sacré de l'islam ? | Le Coran | La Torah | La Bible | Les Védas
F | Quelle ville d'Arabie est le lieu saint le plus important de l'islam ? | La Mecque | Médine | Jérusalem | Damas
M | Comment appelle-t-on le pèlerinage à La Mecque ? | Le hadj | Le ramadan | La zakat | La chahada
M | Comment appelle-t-on le chef de la communauté musulmane après le Prophète ? | Le calife | Le sultan | L'émir | Le vizir
D | Quelle dynastie a fait de Damas sa capitale au VIIe siècle ? | Les Omeyyades | Les Abbassides | Les Fatimides | Les Ottomans
D | Quelle dynastie a fondé Bagdad au VIIIe siècle ? | Les Abbassides | Les Omeyyades | Les Seldjoukides | Les Ayyoubides
F | Quel bâtiment est le lieu de prière des musulmans ? | La mosquée | L'église | La synagogue | Le temple
M | Comment appelle-t-on la tour d'où l'on appelle à la prière ? | Le minaret | Le clocher | Le beffroi | Le donjon
D | Comment appelle-t-on la niche qui indique la direction de La Mecque ? | Le mihrab | Le minbar | Le mihrajan | Le riwaq
M | Quelle bataille de 732 arrête une avancée musulmane en Gaule ? | Poitiers | Roncevaux | Hastings | Bouvines
M | Quel chef franc a commandé à Poitiers en 732 ? | Charles Martel | Clovis | Pépin le Bref | Charlemagne
M | Quelle région d'Espagne a été gouvernée par les musulmans au Moyen Âge ? | Al-Andalus | La Galice | Les Asturies | La Navarre
D | Quelle ville d'Espagne fut la capitale du califat omeyyade d'Occident ? | Cordoue | Tolède | Séville | Grenade
M | Quel palais de Grenade est un chef-d'œuvre de l'art musulman ? | L'Alhambra | L'Escurial | L'Alcazar de Séville | La Giralda
M | En quelle année Bagdad a-t-elle été prise par les Mongols ? | 1258 | 1099 | 1453 | 1187
D | Quel savant persan a écrit un grand traité de médecine au XIe siècle ? | Avicenne | Averroès | Al-Khwarizmi | Al-Biruni
D | Quel mot mathématique vient du nom d'un savant de Bagdad ? | Algorithme | Théorème | Logarithme | Polynôme


# --- L'ordre seigneurial ---

F | Comment appelle-t-on le domaine d'un seigneur au Moyen Âge ? | La seigneurie | La paroisse | La province | Le comté libre
F | Comment appelait-on le paysan attaché à la terre de son seigneur ? | Le serf | Le chevalier | Le clerc | Le bourgeois
M | Comment appelait-on le paysan libre du Moyen Âge ? | Le vilain | Le serf | Le noble | Le moine
F | Quel bâtiment fortifié abritait le seigneur ? | Le château fort | La cathédrale | Le beffroi | L'hôtel de ville
F | Comment appelle-t-on la grosse tour d'un château fort ? | Le donjon | Le beffroi | Le clocher | La barbacane
M | Comment appelle-t-on le fossé rempli d'eau autour d'un château ? | Les douves | Le glacis | La courtine | La herse
M | Comment appelle-t-on la terre qu'un seigneur confie à son vassal ? | Le fief | La dîme | Le cens | La corvée
M | Comment appelait-on celui qui recevait une terre d'un plus puissant ? | Le vassal | Le suzerain | Le serf | Le clerc
D | Comment appelait-on la cérémonie qui liait un vassal à son seigneur ? | L'hommage | Le sacre | L'onction | L'adoubement
D | Comment appelait-on la cérémonie qui faisait d'un jeune noble un chevalier ? | L'adoubement | L'hommage | L'investiture | L'onction
M | Comment appelle-t-on les trois groupes de la société médiévale ? | Les trois ordres | Les trois états généraux | Les trois castes | Les trois classes
M | Quels sont les trois ordres de la société médiévale ? | Ceux qui prient, combattent, travaillent | Nobles, bourgeois, ouvriers | Riches, pauvres, esclaves | Rois, ducs, comtes
M | Quel impôt les paysans versaient-ils à l'Église ? | La dîme | La gabelle | La taille | Le péage
M | Comment appelait-on le travail gratuit dû au seigneur ? | La corvée | La dîme | Le cens | Le tonlieu
M | Quel outil a permis d'améliorer les labours au Moyen Âge ? | La charrue à roues | La faucille | La houe | Le fléau
D | Comment appelle-t-on le système qui laisse un champ au repos une année ? | L'assolement | Le remembrement | L'irrigation | Le drainage


# --- L'Église et la société urbaine ---

F | Comment appelle-t-on l'église principale d'un diocèse ? | La cathédrale | L'abbaye | Le prieuré | La chapelle
M | Quel style d'architecture est marqué par des arcs en plein cintre ? | Le roman | Le gothique | Le baroque | Le classique
M | Quel style d'architecture a inventé la croisée d'ogives ? | Le gothique | Le roman | Le byzantin | Le baroque
M | Quel élément extérieur soutient les murs d'une cathédrale gothique ? | L'arc-boutant | La coupole | Le tympan | Le chevet
F | Comment appelle-t-on les images de verre coloré des églises ? | Les vitraux | Les fresques | Les mosaïques | Les enluminures
M | Comment appelle-t-on les dessins peints dans les manuscrits médiévaux ? | Les enluminures | Les vitraux | Les fresques | Les gravures
F | Où vivaient les moines au Moyen Âge ? | Dans un monastère | Dans un château | Dans un beffroi | Dans une échoppe
D | Quel ordre religieux a été fondé à Cluny au Xe siècle ? | Les bénédictins de Cluny | Les jésuites | Les templiers | Les chartreux
D | Quel moine a fondé l'abbaye de Clairvaux au XIIe siècle ? | Bernard de Clairvaux | Benoît de Nursie | François d'Assise | Dominique
F | Comment appelle-t-on un voyage religieux vers un lieu saint ? | Un pèlerinage | Une croisade | Un concile | Une procession
M | Quel grand pèlerinage mène en Galice, dans le nord de l'Espagne ? | Saint-Jacques-de-Compostelle | Lourdes | Rocamadour | Le Mont-Saint-Michel
F | Comment appelle-t-on les expéditions chrétiennes vers Jérusalem ? | Les croisades | Les pèlerinages | Les conciles | Les reconquêtes
