# Histoire — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de troisième : les guerres totales, le monde depuis
# 1945, et la République française repensée.
#
# Aucun énoncé ne double « histoire.txt » ni « histoire-4e.txt ».

! id      | histoire-3e
! nom     | Histoire — 3e
! de      | d'Histoire — 3e
! detail  | Le programme de troisième : guerres totales, monde depuis 1945.
! icone   | book.closed
! teinte  | 0.70 0.35 0.30
! rang    | 8
! produit | com.oulhen.riskelo.pack.histoire3e


# --- L'Europe, un théâtre majeur des guerres totales ---

F | En quelle année la Première Guerre mondiale a-t-elle commencé ? | 1914 | 1918 | 1912 | 1916
F | Quel attentat déclenche la Première Guerre mondiale ? | Celui de Sarajevo | Celui de Marseille | Celui de Vienne | Celui de Belgrade
F | Comment appelle-t-on les soldats français de 1914-1918 ? | Les poilus | Les sans-culottes | Les grognards | Les zouaves
F | Quelle bataille de 1916 a duré près de dix mois autour d'une ville de Lorraine ? | Verdun | La Marne | La Somme | Ypres
M | Quelle bataille franco-britannique de 1916 vit le premier usage des chars ? | La Somme | Verdun | La Marne | Le Chemin des Dames
M | Quel jour de 1918 l'armistice met-il fin aux combats ? | Le 11 novembre | Le 8 mai | Le 14 juillet | Le 1er septembre
F | Quel traité de 1919 impose ses conditions à l'Allemagne ? | Le traité de Versailles | Le traité de Vienne | Le traité de Rome | Le traité de Trianon
M | Quelle organisation naît en 1920 pour maintenir la paix ? | La Société des Nations | L'ONU | L'OTAN | Le Komintern
M | Quel peuple subit un génocide dans l'Empire ottoman en 1915 ? | Les Arméniens | Les Kurdes | Les Grecs | Les Assyriens
M | Quelle révolution de 1917 porte les bolcheviks au pouvoir ? | La révolution d'Octobre | La révolution de Février | La Commune | Le printemps des peuples
M | Qui dirige les bolcheviks en 1917 ? | Lénine | Staline | Trotski | Kerenski
M | Quel régime Staline installe-t-il en URSS ? | Un régime totalitaire | Une démocratie | Une monarchie | Une république fédérale
D | Comment appelle-t-on les camps de travail forcé soviétiques ? | Le Goulag | Le Kolkhoze | La Tcheka | Le Soviet
D | Comment nomme-t-on la ferme collective imposée aux paysans soviétiques ? | Le kolkhoze | Le goulag | Le zemstvo | Le mir
F | En quelle année Hitler arrive-t-il au pouvoir en Allemagne ? | 1933 | 1939 | 1929 | 1925
D | Quelles lois de 1935 privent les Juifs allemands de leurs droits ? | Les lois de Nuremberg | Les lois de Weimar | Les lois de Munich | Les lois de Potsdam
F | Quel événement de septembre 1939 déclenche la Seconde Guerre mondiale ? | L'invasion de la Pologne | L'annexion de l'Autriche | L'attaque de Pearl Harbor | La bataille de France
F | Quel débarquement a lieu en Normandie le 6 juin 1944 ? | Le débarquement allié | Le débarquement de Provence | L'opération Barbarossa | La bataille des Ardennes
M | Quelle bataille de 1942-1943 marque un tournant sur le front de l'Est ? | Stalingrad | Koursk | Leningrad | Moscou
F | Quel jour de 1945 l'Allemagne capitule-t-elle ? | Le 8 mai | Le 11 novembre | Le 6 juin | Le 2 septembre
F | Comment nomme-t-on le génocide des Juifs d'Europe ? | La Shoah | La Grande Guerre | Le Blitz | L'Anschluss
D | Quel camp d'extermination est devenu le symbole du génocide ? | Auschwitz-Birkenau | Dachau | Buchenwald | Ravensbrück
D | Quelle conférence de 1942 organise l'extermination des Juifs d'Europe ? | La conférence de Wannsee | La conférence de Munich | La conférence de Yalta | La conférence de Potsdam
F | Sur quelles villes japonaises la bombe atomique a-t-elle été larguée ? | Hiroshima et Nagasaki | Tokyo et Osaka | Kyoto et Kobe | Nagoya et Sendai


# --- Le monde depuis 1945 ---

F | Quelle organisation internationale naît en 1945 ? | L'ONU | La SDN | L'OTAN | L'Union européenne
F | Comment appelle-t-on l'affrontement entre États-Unis et URSS après 1945 ? | La guerre froide | La guerre totale | La détente | La guerre d'usure
F | Quel mur sépare Berlin de 1961 à 1989 ? | Le mur de Berlin | Le rideau de fer | La ligne Curzon | Le mur de l'Atlantique
D | Quelle crise de 1948-1949 conduit à un pont aérien vers Berlin ? | Le blocus de Berlin | La crise de Cuba | La guerre de Corée | Le coup de Prague
M | Quelle alliance militaire occidentale naît en 1949 ? | L'OTAN | Le pacte de Varsovie | La CECA | Le Kominform
D | Quelle alliance militaire regroupe le bloc de l'Est à partir de 1955 ? | Le pacte de Varsovie | L'OTAN | Le Comecon | La Triple-Entente
M | Sur quelle île l'URSS installa-t-elle des missiles en 1962 ? | Cuba | Haïti | La Jamaïque | Chypre
M | Comment appelle-t-on l'accession à l'indépendance des colonies ? | La décolonisation | La mondialisation | L'émancipation | La restauration
M | Quelle conférence de 1955 réunit les pays non alignés d'Asie et d'Afrique ? | La conférence de Bandung | La conférence de Yalta | La conférence de Berlin | La conférence de Genève
M | En quelle année l'Inde devient-elle indépendante ? | 1947 | 1962 | 1954 | 1930
M | Quel dirigeant indien prône la non-violence contre la colonisation britannique ? | Gandhi | Nehru | Jinnah | Ambedkar
M | Quelle guerre d'indépendance oppose la France à une colonie d'Afrique du Nord ? | La guerre d'Algérie | La guerre d'Indochine | La guerre du Rif | La guerre de Suez
F | En quelle année l'Algérie devient-elle indépendante ? | 1962 | 1954 | 1958 | 1945
D | Quels accords de 1962 mettent fin à la guerre d'Algérie ? | Les accords d'Évian | Les accords de Genève | Les accords de Matignon | Les accords de Grenelle
M | Quel traité de 1957 fonde le Marché commun européen ? | Le traité de Rome | Le traité de Maastricht | Le traité de Paris | Le traité de Lisbonne
M | Quel traité de 1992 crée l'Union européenne ? | Le traité de Maastricht | Le traité de Rome | Le traité de Nice | Le traité d'Amsterdam
F | En quelle année l'euro devient-il la monnaie de poche des Européens ? | 2002 | 1999 | 1995 | 2010
M | Quelle date marque la fin du bloc soviétique en Europe de l'Est ? | La chute du mur en 1989 | Mai 68 | La crise de 1973 | Les accords d'Helsinki
D | En quelle année l'URSS a-t-elle disparu ? | 1991 | 1989 | 1993 | 1985
D | Quel dirigeant soviétique lance la perestroïka ? | Gorbatchev | Brejnev | Khrouchtchev | Eltsine


# --- Françaises et Français dans une République repensée ---

M | Quel régime remplace la République française en juillet 1940 ? | L'État français | La Troisième République | La Quatrième République | Le Gouvernement provisoire
M | Dans quelle ville d'eaux le régime de Pétain s'installe-t-il ? | Vichy | Bordeaux | Tours | Lyon
F | Quel appel Charles de Gaulle lance-t-il depuis Londres en juin 1940 ? | L'appel du 18 Juin | L'appel de Bayeux | L'appel de Brazzaville | L'appel du 8 Mai
M | Comment appelle-t-on ceux qui luttent en France contre l'occupant ? | Les résistants | Les miliciens | Les collaborateurs | Les requis
D | Qui unifie la Résistance intérieure française en 1943 ? | Jean Moulin | Pierre Brossolette | Henri Frenay | Jean-Pierre Vernant
D | Quelle rafle de juillet 1942 a lieu à Paris ? | La rafle du Vél d'Hiv | La rafle de Marseille | La rafle de Nice | La rafle de Drancy
F | En quelle année les Françaises obtiennent-elles le droit de vote ? | 1944 | 1936 | 1918 | 1958
M | Quel organisme de 1945 crée la Sécurité sociale ? | Le Gouvernement provisoire | La Quatrième République | Le régime de Vichy | La Cinquième République
D | Quel programme de la Résistance inspire les réformes de 1944-1946 ? | Les Jours heureux | Le Front populaire | Le plan Marshall | Le plan Monnet
F | Quelle République naît en 1958 ? | La Cinquième | La Quatrième | La Troisième | La Sixième
M | Quelle crise de 1958 amène de Gaulle au pouvoir ? | La crise algérienne | La crise de Suez | Mai 68 | La crise de 1929
D | Quelle réforme de 1962 fait élire le président au suffrage universel direct ? | Le référendum de 1962 | La loi de 1958 | Les accords d'Évian | La réforme de 1974
M | Quel mouvement social secoue la France au printemps 1968 ? | Mai 68 | Le Front populaire | Les accords de Grenelle | La grève de 1936
F | Comment appelle-t-on les trente années de croissance d'après-guerre ? | Les Trente Glorieuses | La Belle Époque | Les Années folles | Les Trente Piteuses
