# SVT — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de sixième : le peuplement des milieux, la classification du
# vivant, l'origine de la matière, la production alimentaire et la Terre.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-6e
! nom     | SVT — 6e
! de      | de SVT — 6e
! detail  | Le programme de sixième : le vivant, les milieux, la Terre.
! icone   | ladybug
! teinte  | 0.40 0.66 0.36
! rang   | 10
! produit | com.oulhen.riskelo.pack.svt6e


# --- Le peuplement des milieux ---

F | Comment appelle-t-on le lieu où vit un être vivant ? | Son milieu de vie | Sa saison | Sa taille | Son espèce
F | Comment nomme-t-on tous les êtres vivants qui occupent un même milieu ? | Le peuplement | Le paysage | Le relief | Le climat
M | Comment appelle-t-on les éléments non vivants d'un milieu ? | Les composantes minérales | Les êtres vivants | Les espèces | Les populations
M | Quel facteur du milieu varie le plus au cours d'une journée ? | La lumière | La roche | Le sol | L'altitude
M | Quel facteur du milieu explique qu'une plante pousse ici et non là ? | Les conditions de vie | Le hasard seul | La saison seule | La taille
M | Comment appelle-t-on la forme sous laquelle beaucoup d'insectes passent l'hiver ? | Un œuf ou une larve | Un adulte volant | Une graine | Un bourgeon
D | Comment appelle-t-on le sommeil profond de certains animaux l'hiver ? | L'hibernation | La migration | La mue | La germination
M | Comment appelle-t-on le déplacement saisonnier de certains oiseaux ? | La migration | L'hibernation | La mue | La ponte
D | Comment appelle-t-on le changement de pelage ou de plumage selon la saison ? | La mue | La migration | L'hibernation | La germination
M | Sous quelle forme la plupart des plantes passent-elles l'hiver ? | Sous forme de graine ou de bourgeon | Sous forme de fleur | Sous forme de fruit | Sous forme de feuille
M | Comment appelle-t-on l'occupation d'un milieu qui change au fil des saisons ? | Une occupation saisonnière | Une occupation permanente | Une migration unique | Une extinction
D | Comment appelle-t-on un être vivant qui vit dans un seul type de milieu ? | Une espèce spécialiste | Une espèce généraliste | Une espèce migratrice | Une espèce invasive
D | Comment appelle-t-on une espèce introduite qui envahit un milieu ? | Une espèce invasive | Une espèce endémique | Une espèce protégée | Une espèce migratrice
M | Comment appelle-t-on une espèce qui n'existe que dans une seule région ? | Une espèce endémique | Une espèce invasive | Une espèce commune | Une espèce migratrice


# --- Classer le vivant ---

F | Comment appelle-t-on un groupe d'êtres vivants qui se ressemblent et se reproduisent entre eux ? | Une espèce | Un milieu | Un peuplement | Un habitat
M | Sur quoi repose la classification actuelle des êtres vivants ? | Les caractères partagés | La taille | La couleur | Le milieu de vie
D | Comment appelle-t-on un groupe qui contient tous les êtres ayant un caractère commun ? | Un groupe emboîté | Une chaîne | Un réseau | Un cycle
M | Quel caractère partagent tous les vertébrés ? | Une colonne vertébrale | Des ailes | Des poils | Des écailles
M | Quel caractère partagent tous les mammifères ? | Des poils et des mamelles | Des plumes | Des écailles | Des nageoires
M | Quel caractère partagent tous les oiseaux ? | Des plumes | Des poils | Des écailles | Des branchies
M | Combien de pattes compte un insecte adulte ? | Six | Huit | Quatre | Dix
D | De combien de pattes une araignée se sert-elle pour marcher ? | Huit | Six | Dix | Quatre
D | Une araignée est-elle un insecte ? | Non | Oui | Parfois | Seulement jeune
M | En combien de parties le corps d'un insecte est-il divisé ? | Trois | Deux | Quatre | Une
D | Comment appelle-t-on les trois parties du corps d'un insecte ? | Tête, thorax, abdomen | Tête, tronc, queue | Avant, milieu, arrière | Tête, corps, pattes
M | Comment appelle-t-on un animal sans colonne vertébrale ? | Un invertébré | Un vertébré | Un mammifère | Un amphibien
D | À quel groupe appartient une grenouille ? | Les amphibiens | Les reptiles | Les poissons | Les mammifères
D | À quel groupe appartient un serpent ? | Les reptiles | Les amphibiens | Les vers | Les poissons
M | À quel groupe appartient une baleine ? | Les mammifères | Les poissons | Les reptiles | Les amphibiens
D | Comment appelle-t-on l'unité de base de tous les êtres vivants ? | La cellule | L'atome | La molécule | L'organe
M | Quel instrument permet d'observer les cellules ? | Le microscope | La loupe | Le télescope | Le baromètre
D | Quel élément la cellule végétale possède-t-elle en plus de la cellule animale ? | Une paroi | Un noyau | Une membrane | Un cytoplasme
D | Comment appelle-t-on un être vivant formé d'une seule cellule ? | Un unicellulaire | Un pluricellulaire | Un vertébré | Un invertébré


# --- L'origine de la matière ---

F | Que produisent les plantes vertes grâce à la lumière ? | Leur propre matière | Des minéraux seuls | De l'eau | De la roche
M | Comment appelle-t-on la fabrication de matière par les plantes à la lumière ? | La photosynthèse | La respiration | La digestion | La fermentation
M | Que faut-il à une plante verte en plus de l'eau et de la lumière ? | Des sels minéraux | De la viande | Du sucre tout fait | Du sel de cuisine
M | Quel gaz de l'air la feuille prélève-t-elle à la lumière ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hélium
M | Quel gaz les plantes rejettent-elles à la lumière ? | L'oxygène | Le dioxyde de carbone | L'azote | Le méthane
D | Par quelle partie la plante puise-t-elle l'eau du sol ? | Les racines | Les feuilles | Les fleurs | Les fruits
D | Dans quelle partie de la plante la photosynthèse a-t-elle surtout lieu ? | Les feuilles | Les racines | La tige | Les graines
D | Quel pigment vert permet la photosynthèse ? | La chlorophylle | L'hémoglobine | La mélanine | La caroténoïde seule
M | Comment appelle-t-on un être vivant qui fabrique sa propre matière ? | Un producteur | Un consommateur | Un décomposeur | Un prédateur
M | Comment appelle-t-on un être vivant qui mange d'autres êtres vivants ? | Un consommateur | Un producteur | Un minéral | Un fossile
M | Comment appelle-t-on un animal qui ne mange que des végétaux ? | Un herbivore | Un carnivore | Un omnivore | Un décomposeur
M | Comment appelle-t-on un animal qui mange de la viande ? | Un carnivore | Un herbivore | Un granivore | Un frugivore
M | Comment nomme-t-on un animal qui mange à la fois plantes et viande ? | Un omnivore | Un herbivore | Un carnivore | Un insectivore
D | Comment appelle-t-on un animal qui se nourrit de graines ? | Un granivore | Un frugivore | Un herbivore | Un insectivore
M | Comment appelle-t-on une suite d'êtres vivants qui se mangent les uns les autres ? | Une chaîne alimentaire | Un cycle de l'eau | Un réseau électrique | Une classification
M | Par quoi commence toujours une chaîne alimentaire ? | Par un végétal | Par un carnivore | Par un décomposeur | Par un minéral
D | Comment appelle-t-on l'ensemble des chaînes alimentaires reliées d'un milieu ? | Un réseau alimentaire | Une chaîne unique | Un cycle | Une pyramide d'âge
M | Comment appelle-t-on les êtres vivants qui transforment les restes en matière minérale ? | Les décomposeurs | Les producteurs | Les prédateurs | Les herbivores
D | Quels petits êtres vivants du sol participent à la décomposition ? | Les bactéries et les champignons | Les oiseaux | Les poissons | Les reptiles
D | Comment appelle-t-on le retour de la matière minérale au sol ? | Le recyclage de la matière | La photosynthèse | La respiration | La migration


# --- Produire pour se nourrir ---

F | Comment appelle-t-on la culture des plantes pour se nourrir ? | L'agriculture | L'élevage | La pêche | La chasse
F | Comment appelle-t-on l'entretien d'animaux pour se nourrir ? | L'élevage | L'agriculture | La cueillette | La chasse
M | De quoi une plante cultivée a-t-elle besoin en plus dans un sol pauvre ? | D'engrais | De sel | De sucre | De sable
M | Comment appelle-t-on un produit qui apporte des sels minéraux aux cultures ? | Un engrais | Un pesticide | Un herbicide | Un fongicide
M | Comment appelle-t-on un produit qui tue les insectes des cultures ? | Un insecticide | Un engrais | Un herbicide | Un fertilisant
D | Comment appelle-t-on un produit qui détruit les mauvaises herbes ? | Un herbicide | Un insecticide | Un engrais | Un fongicide
M | Quel risque font courir les pesticides à l'environnement ? | Ils polluent l'eau et le sol | Ils réchauffent l'air | Ils créent des séismes | Ils font pousser plus vite
M | Comment appelle-t-on une agriculture qui n'emploie pas de produits chimiques de synthèse ? | L'agriculture biologique | L'agriculture intensive | L'agriculture hors-sol | La monoculture
M | Quel micro-organisme fait lever la pâte à pain ? | La levure | La bactérie lactique | Le champignon de couche | Le virus
D | Quel gaz la levure produit-elle en faisant lever la pâte ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hydrogène
M | Quel micro-organisme transforme le lait en yaourt ? | Une bactérie | Une levure | Un virus | Une algue
D | Comment appelle-t-on la transformation d'un aliment par des micro-organismes ? | La fermentation | La cuisson | La congélation | La pasteurisation
D | Quel savant a donné son nom à un procédé de conservation par la chaleur ? | Louis Pasteur | Claude Bernard | Antoine Lavoisier | Charles Darwin
M | Comment conserve-t-on un aliment en le refroidissant fortement ? | Par la congélation | Par la fermentation | Par le salage | Par le séchage
D | Quel procédé ancien conserve la viande grâce au sel ? | Le salage | La congélation | La pasteurisation | La stérilisation
M | Pourquoi conserve-t-on les aliments au froid ? | Pour ralentir les micro-organismes | Pour les cuire | Pour les sucrer | Pour les colorer


# --- La Terre dans le système solaire ---

F | Autour de quel astre la Terre tourne-t-elle ? | Le Soleil | La Lune | Mars | Jupiter
F | Combien de temps la Terre met-elle à faire un tour du Soleil ? | Un an | Un jour | Un mois | Dix ans
F | Combien de temps la Terre met-elle à tourner sur elle-même ? | Un jour | Un mois | Un an | Une heure
