# Géographie — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de sixième : habiter une métropole, un espace de
# faible densité, les littoraux, et le monde habité.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | geographie-6e
! nom     | Géographie — 6e
! de      | de Géographie — 6e
! detail  | Le programme de sixième : habiter le monde, villes et littoraux.
! icone   | globe.asia.australia
! teinte  | 0.35 0.60 0.76
! rang   | 7
! produit | com.oulhen.riskelo.pack.geographie6e


# --- Habiter une métropole ---

F | Comment appelle-t-on une très grande ville qui commande une région ? | Une métropole | Un village | Un hameau | Un bourg
F | Comment appelle-t-on la partie ancienne et centrale d'une ville ? | Le centre-ville | La banlieue | La campagne | Le port
F | Comment appelle-t-on les communes qui entourent une grande ville ? | La banlieue | Le centre | Le hameau | Le canton
M | Comment appelle-t-on un immeuble très haut d'un centre d'affaires ? | Un gratte-ciel | Une villa | Un pavillon | Une chaumière
M | Quel moyen de transport souterrain équipe les grandes villes ? | Le métro | Le tramway | Le trolleybus | Le téléphérique
M | Comment appelle-t-on l'encombrement des routes aux heures de pointe ? | Les embouteillages | La densification | Le mitage | L'exode
D | Comment appelle-t-on le fait qu'une ville s'étende sur les campagnes ? | L'étalement urbain | La densification | La rénovation | La désertification
M | Comment appelle-t-on un habitat très pauvre et construit sans permis ? | Un bidonville | Un lotissement | Une résidence | Un immeuble collectif
M | Quelle ville d'Amérique du Sud est célèbre pour ses favelas ? | Rio de Janeiro | Buenos Aires | Lima | Bogota
D | Quelle ville d'Asie a été bâtie sur une île et compte des tours nombreuses ? | Hong Kong | Katmandou | Oulan-Bator | Vientiane
M | Comment appelle-t-on une grande ville d'un pays pauvre qui grandit très vite ? | Une métropole du Sud | Une ville nouvelle | Une conurbation | Une ville-dortoir
D | Quel quartier d'affaires se dresse à l'ouest de Paris ? | La Défense | Le Marais | Belleville | Montmartre
M | Comment appelle-t-on une ville construite entièrement à neuf ? | Une ville nouvelle | Une ville ancienne | Une capitale | Un faubourg
D | Quelle capitale du Brésil a été bâtie de toutes pièces en 1960 ? | Brasília | Rio de Janeiro | São Paulo | Salvador
M | Quel problème d'air touche les habitants des grandes villes ? | La pollution | Le froid | La sécheresse | Le vent
M | Comment appelle-t-on l'espace vert au milieu d'une ville ? | Un parc urbain | Une forêt | Une lande | Un bocage


# --- Habiter un espace de faible densité ---

F | Comment appelle-t-on un espace où vivent peu d'habitants ? | Un espace de faible densité | Une métropole | Une conurbation | Une capitale
M | Quel type de milieu très sec est peu peuplé ? | Le désert | La plaine fertile | Le delta | La vallée
M | Quel désert d'Afrique est le plus vaste du monde ? | Le Sahara | Le Kalahari | Le Namib | Le désert de Libye seul
D | Quel désert froid s'étend en Asie centrale ? | Le Gobi | L'Atacama | Le Namib | Le Thar
D | Quel désert d'Amérique du Sud est le plus aride du monde ? | L'Atacama | Le Gobi | Le Kalahari | Le Mojave
M | Comment appelle-t-on un point d'eau au milieu du désert ? | Une oasis | Un delta | Un estuaire | Un marais
M | Comment appelle-t-on un peuple qui se déplace avec ses troupeaux ? | Un peuple nomade | Un peuple sédentaire | Un peuple urbain | Un peuple insulaire
D | Quel peuple nomade du Sahara est appelé « hommes bleus » ? | Les Touaregs | Les Inuits | Les Mongols | Les Bédouins du Nord
M | Quel peuple habite les régions polaires d'Amérique du Nord ? | Les Inuits | Les Touaregs | Les Aborigènes | Les Maoris
D | Quel peuple nomade vit sous la yourte en Asie centrale ? | Les Mongols | Les Inuits | Les Berbères | Les Sames
M | Quelle forêt tropicale immense est peu peuplée ? | L'Amazonie | La forêt de Fontainebleau | La forêt Noire | La taïga finlandaise
D | Comment appelle-t-on la forêt froide de conifères du nord ? | La taïga | La toundra | La savane | La steppe
D | Comment appelle-t-on la plaine froide sans arbres du Grand Nord ? | La toundra | La taïga | La pampa | Le maquis
M | Quelle activité fait vivre les campagnes peu peuplées d'Europe ? | L'agriculture | La finance | L'industrie lourde | La construction navale
M | Quel tourisme se pratique dans les espaces naturels préservés ? | Le tourisme vert | Le tourisme d'affaires | Le tourisme urbain | Le tourisme de croisière
D | Comment appelle-t-on le manque de services dans les campagnes isolées ? | L'enclavement | La densification | L'urbanisation | Le mitage


# --- Habiter les littoraux ---

F | Comment appelle-t-on la bande de terre au bord de la mer ? | Le littoral | Le plateau | La plaine | Le massif
M | Comment appelle-t-on un littoral aménagé pour les vacanciers ? | Un littoral touristique | Un littoral industriel | Un littoral portuaire | Un littoral désert
M | Comment appelle-t-on un littoral occupé par des usines et des ports ? | Un littoral industrialo-portuaire | Un littoral balnéaire | Un littoral sauvage | Un littoral agricole
M | Comment appelle-t-on un abri aménagé pour les bateaux ? | Un port | Un phare | Une digue | Une écluse
D | Comment appelle-t-on l'espace desservi par un port à l'intérieur des terres ? | L'arrière-pays | L'avant-pays | Le glacis | La marge
M | Quelle activité consiste à pêcher le poisson en mer ? | La pêche | L'aquaculture en bassin | La chasse | La cueillette
D | Comment appelle-t-on l'élevage de coquillages sur le littoral ? | La conchyliculture | La sylviculture | L'apiculture | La viticulture
D | Comment appelle-t-on l'élevage des huîtres ? | L'ostréiculture | La mytiliculture | La pisciculture | La conchyliculture générale
D | Comment appelle-t-on l'élevage des moules ? | La mytiliculture | L'ostréiculture | La salmoniculture | L'algoculture
M | Quel danger menace les côtes basses avec la montée des eaux ? | La submersion | Le séisme | L'avalanche | L'éruption
M | Comment appelle-t-on le recul du trait de côte sous l'action des vagues ? | L'érosion | La sédimentation | L'alluvionnement | L'accrétion
D | Comment appelle-t-on un mur bâti pour protéger la côte des vagues ? | Une digue | Un phare | Une jetée flottante | Une écluse
M | Quelle mer chaude attire des millions de vacanciers en Europe ? | La Méditerranée | La mer Baltique | La mer du Nord | La mer Blanche
D | Comment appelle-t-on une station balnéaire construite d'un seul tenant ? | Une station intégrée | Un village de pêcheurs | Un port de commerce | Une marina naturelle
M | Quel navire de tourisme emmène des milliers de passagers ? | Le paquebot de croisière | Le chalutier | Le cargo | Le remorqueur
D | Comment appelle-t-on la construction excessive du bord de mer ? | Le bétonnage du littoral | Le remembrement | Le mitage rural | La déprise


# --- Le monde habité ---

F | Comment appelle-t-on une zone où vivent beaucoup d'habitants ? | Un foyer de peuplement | Un désert humain | Une marge | Une réserve
M | Sur quel continent se trouvent les plus grands foyers de peuplement ? | L'Asie | L'Afrique | L'Europe | L'Océanie
D | Quels deux pays d'Asie comptent chacun plus d'un milliard d'habitants ? | L'Inde et la Chine | Le Japon et la Corée | L'Iran et l'Irak | Le Vietnam et le Laos
M | Comment appelle-t-on une région du globe presque vide d'hommes ? | Un désert humain | Un foyer de peuplement | Une métropole | Une oasis
D | Quel continent est presque entièrement inhabité ? | L'Antarctique | L'Afrique | L'Amérique du Sud | L'Europe
M | Quelle contrainte empêche d'habiter les régions polaires ? | Le froid | La chaleur | L'altitude seule | La pluie
M | Quelle contrainte rend les hautes montagnes difficiles à habiter ? | L'altitude | La proximité de la mer | Les fleuves | Les forêts
D | Comment appelle-t-on un milieu difficile mais que l'homme aménage ? | Une contrainte naturelle | Une ressource | Un atout | Un risque nul
M | Où les hommes s'installent-ils le plus volontiers ? | Près des côtes et des fleuves | En haute montagne | Dans les déserts | Sur les glaciers
D | Quelle part de l'humanité vit à moins de cent kilomètres d'une côte ? | Plus de la moitié | Un dixième | Un quart | La totalité


# --- Compléments : la planète Terre ---

F | Quelle forme a la Terre ? | Une sphère légèrement aplatie | Un cube | Un disque plat | Un cylindre
F | Combien de temps la Terre met-elle pour tourner sur elle-même ? | Vingt-quatre heures | Un mois | Un an | Une semaine
F | Combien de temps la Terre met-elle pour tourner autour du Soleil ? | Un an | Un mois | Un jour | Dix ans
F | Comment appelle-t-on les deux extrémités de l'axe de la Terre ? | Les pôles | Les tropiques | Les méridiens | Les équateurs
F | Comment appelle-t-on la moitié de la Terre située au nord de l'équateur ? | L'hémisphère nord | L'hémisphère sud | Le tropique | Le pôle
F | Quel astre éclaire et réchauffe la Terre ? | Le Soleil | La Lune | Mars | Vénus
M | Comment appelle-t-on l'ensemble des terres émergées ? | Les continents | Les océans | Les archipels | Les isthmes
M | Quelle part de la Terre est couverte d'eau ? | Un peu plus des deux tiers | Un tiers | La moitié | Neuf dixièmes
M | Comment appelle-t-on une étendue d'eau salée immense ? | Un océan | Un lac | Un fleuve | Un étang
M | Comment appelle-t-on une terre entourée d'eau de tous côtés ? | Une île | Une presqu'île | Un cap | Un isthme
D | Comment appelle-t-on un groupe d'îles ? | Un archipel | Un continent | Un delta | Un détroit
D | Comment appelle-t-on une terre entourée d'eau sauf d'un côté ? | Une presqu'île | Une île | Un archipel | Un atoll
