# Histoire — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de quatrième, dans son ordre : le XVIIIe siècle et
# les révolutions, l'Europe et le monde au XIXe, puis la France de 1815 à 1914.
#
# C'est le premier thème qui n'était pas là au départ, et il n'a demandé aucune
# ligne de code : un fichier déposé dans ce dossier est un thème de plus. Il
# est ici gratuit comme les six autres — le jour où un thème se vendra, c'est
# son choix qui sera réservé à l'acheteur, pas sa présence sur l'appareil.
#
# Deux cents questions. Mesuré : joué seul, un thème de deux cents tient deux
# soirées avant que les questions ne commencent à revenir — la mesure est dans
# le README, et c'est elle qui a fixé le chiffre.
#
# Aucun énoncé ne double aucun autre fichier : un pack qui redit la banque de
# base est un pack qu'on a l'impression d'avoir déjà payé.

! id     | histoire-4e
! nom    | Histoire — 4e
! de     | d'Histoire — 4e
! detail | Le programme de quatrième : révolutions, industrie, colonies.
! icone  | graduationcap
! teinte | 0.45 0.44 0.78
! rang   | 10
! produit | com.oulhen.riskelo.pack.histoire4e


# --- Thème 1 · Bourgeoisies marchandes, négoces internationaux, traite ---

F | Quel commerce relie l'Europe, l'Afrique et l'Amérique au XVIIIe siècle ? | Le commerce triangulaire | La route de la soie | Le grand cabotage | Le commerce des épices
F | Quel port français s'est le plus enrichi de la traite négrière ? | Nantes | Marseille | Lille | Strasbourg
F | Que cultive-t-on surtout dans les plantations des Antilles françaises ? | La canne à sucre | Le blé | La vigne | Le seigle
M | En quelle année le Code noir est-il promulgué ? | 1685 | 1715 | 1661 | 1748
F | Quel roi de France promulgue le Code noir ? | Louis XIV | Louis XV | Louis XIII | Henri IV
F | Que règle le Code noir dans les colonies françaises ? | Le statut des esclaves | Le commerce du sel | Le service militaire | La levée des impôts
M | Quelle colonie française produit le plus de sucre au XVIIIe siècle ? | Saint-Domingue | La Guyane | Le Sénégal | La Louisiane
M | Comment nomme-t-on l'esclave qui fuyait la plantation ? | Un marron | Un affranchi | Un engagé | Un métayer
M | Que rapportaient les navires négriers dans leur dernière traversée ? | Du sucre et du café | Des esclaves | Des armes | Du sel
M | En quelle année la Convention abolit-elle une première fois l'esclavage ? | 1794 | 1789 | 1802 | 1815
M | Qui rétablit l'esclavage dans les colonies françaises en 1802 ? | Bonaparte | Louis XVIII | Robespierre | Charles X
M | Quel homme fit signer le décret d'abolition de 1848 ? | Victor Schœlcher | Jules Ferry | Léon Gambetta | Adolphe Thiers
D | Quelle société fondée en 1788 réclame la fin de la traite ? | La Société des amis des Noirs | Le Club des Jacobins | La Société des Lumières | La Ligue des droits de l'homme
D | Quelle révolte d'esclaves éclate à Saint-Domingue en 1791 ? | La révolte de Bois-Caïman | La guerre des Cévennes | La Grande Jacquerie | La révolte des Boxers
D | Quel ancien esclave prend la tête de Saint-Domingue en 1801 ? | Toussaint Louverture | Jean-Baptiste Belley | Cyrille Bissette | Louis Delgrès


# --- Thème 1 · L'Europe des Lumières ---

F | Comment appelle-t-on le mouvement de pensée du XVIIIe siècle qui défend la raison ? | Les Lumières | La Renaissance | Le romantisme | Le classicisme
F | Quel ouvrage collectif du XVIIIe siècle rassemble tous les savoirs ? | L'Encyclopédie | Le Dictionnaire de l'Académie | La Somme théologique | Les Essais
M | Quel philosophe dirige l'Encyclopédie avec d'Alembert ? | Diderot | Voltaire | Rousseau | Condorcet
M | Quelle œuvre de Montesquieu expose la séparation des pouvoirs ? | De l'esprit des lois | Le Contrat social | Candide | Les Confessions
F | Qui écrit « Du contrat social » en 1762 ? | Rousseau | Voltaire | Diderot | Montesquieu
F | Qui est l'auteur de « Candide » ? | Voltaire | Rousseau | Beaumarchais | Marivaux
F | En combien de pouvoirs Montesquieu partage-t-il l'État ? | Trois | Deux | Quatre | Cinq
M | Quels lieux parisiens font circuler les idées nouvelles au XVIIIe siècle ? | Les salons et les cafés | Les couvents | Les casernes | Les manufactures
M | Contre quelle pratique les philosophes luttent-ils dans l'édition ? | La censure | L'imprimerie | Le droit d'auteur | La reliure
M | Où les livres interdits en France étaient-ils souvent imprimés ? | Aux Provinces-Unies | En Espagne | Au Portugal | Dans les États du pape
D | Comment appelle-t-on les souverains qui reprennent les idées des Lumières ? | Des despotes éclairés | Des monarques absolus | Des régents | Des tyrans
D | Quel roi de Prusse correspond avec Voltaire ? | Frédéric II | Guillaume Ier | Frédéric-Guillaume IV | Otto von Bismarck
D | Quelle impératrice de Russie se disait amie des philosophes ? | Catherine II | Élisabeth Ire | Marie-Thérèse | Anne Ire
D | Quelle révolution de 1776 inspire les philosophes français ? | L'indépendance américaine | La Glorieuse Révolution | La révolte des Pays-Bas | La guerre de Sept Ans
D | Quel savant américain, reçu à Paris, incarne les Lumières ? | Benjamin Franklin | George Washington | Thomas Paine | John Adams


# --- Thème 1 · La Révolution française et l'Empire ---

F | Comment s'appellent les trois ordres de la société d'Ancien Régime ? | Clergé, noblesse, tiers état | Roi, seigneurs, serfs | Ville, campagne, colonies | Nobles, bourgeois, ouvriers
F | Quelle part de la population française forme le tiers état en 1789 ? | Plus de 95 % | Environ 50 % | Environ 25 % | Environ 75 %
F | Dans quels cahiers les Français consignent-ils leurs plaintes en 1789 ? | Les cahiers de doléances | Les registres du roi | Les livres de raison | Les cahiers des charges
F | Quelle assemblée le roi convoque-t-il en mai 1789 ? | Les États généraux | La Convention | Le Directoire | Le Parlement de Paris
F | Où se réunissent les États généraux en 1789 ? | À Versailles | À Paris | À Reims | À Fontainebleau
F | Quel serment les députés prêtent-ils le 20 juin 1789 ? | Le serment du Jeu de paume | Le serment de fidélité | Le serment civique | Le serment du Roi
M | Que promettent les députés dans ce serment ? | De donner une constitution | De renverser le roi | De payer l'impôt | De lever une armée
F | Que décide l'Assemblée dans la nuit du 4 août 1789 ? | L'abolition des privilèges | La mort du roi | La guerre à l'Autriche | La vente des colonies
F | Quel texte est adopté le 26 août 1789 ? | La Déclaration des droits de l'homme | La Constitution civile | Le Code civil | La Charte
M | Par quel mot la Déclaration de 1789 commence-t-elle à définir les hommes ? | Libres et égaux en droits | Sujets du roi | Enfants de Dieu | Membres de la nation
M | En quel type de régime la Constitution de 1791 place-t-elle la France ? | Une monarchie constitutionnelle | Une république | Un empire | Une régence
M | Comment nomme-t-on les nouvelles circonscriptions créées en 1790 ? | Les départements | Les provinces | Les cantons | Les généralités
M | Quel papier-monnaie la Révolution met-elle en circulation ? | L'assignat | Le louis | Le franc germinal | L'écu
D | Que vend l'État révolutionnaire pour garantir ce papier-monnaie ? | Les biens du clergé | Les colonies | Les forêts royales | Les mines
M | Quelle région de l'Ouest se soulève contre la Révolution en 1793 ? | La Vendée | La Bretagne | La Normandie | Le Limousin
M | Quel comité gouverne la France pendant la Terreur ? | Le Comité de salut public | Le Directoire | Le Conseil des Cinq-Cents | Le Comité des finances
F | Quel chant révolutionnaire de 1792 deviendra l'hymne national ? | La Marseillaise | Le Chant du départ | Ça ira | La Carmagnole
D | Qui a composé la Marseillaise en 1792 ? | Rouget de Lisle | Gossec | Méhul | Grétry
D | Quelle journée de juillet 1794 met fin à la Terreur ? | Le 9 thermidor | Le 18 brumaire | Le 10 août | Le 9 fructidor
M | Quel régime dirige la France de 1795 à 1799 ? | Le Directoire | Le Consulat | La Convention | L'Empire
M | Quel coup d'État porte Bonaparte au pouvoir en 1799 ? | Le 18 brumaire | Le 9 thermidor | Le 2 décembre | Le 18 fructidor
F | Quel titre Bonaparte prend-il en 1804 ? | Empereur des Français | Roi de France | Premier consul | Président
D | Qui pose la couronne sur la tête de Napoléon en 1804 ? | Napoléon lui-même | Le pape Pie VII | L'archevêque de Reims | Joséphine
M | Quel accord de 1801 réconcilie Bonaparte et l'Église ? | Le Concordat | L'édit de tolérance | La Constitution civile | Le traité de Tolentino
D | Quelle école Napoléon crée-t-il pour former les cadres de l'État ? | Le lycée | L'université libre | L'école normale | Le collège royal
D | Quelle banque Bonaparte fonde-t-il en 1800 ? | La Banque de France | Le Crédit lyonnais | La Caisse des dépôts | La Société générale
M | Quel blocus Napoléon impose-t-il au Royaume-Uni en 1806 ? | Le Blocus continental | Le blocus maritime | L'embargo de Tilsit | La paix armée


# --- Thème 2 · L'Europe de la révolution industrielle ---

F | Quelle machine est au cœur de la première révolution industrielle ? | La machine à vapeur | Le moteur électrique | La turbine | Le moteur à explosion
M | Quel ingénieur écossais perfectionne la machine à vapeur en 1769 ? | James Watt | Thomas Newcomen | George Stephenson | Denis Papin
F | Quelle énergie fait tourner les machines du XIXe siècle ? | Le charbon | Le pétrole | Le gaz naturel | L'électricité
M | Comment appelle-t-on la mine dont on extrait le charbon ? | Une houillère | Une carrière | Une saline | Une ardoisière
M | En quelle année ouvre la première ligne de chemin de fer française ? | 1827 | 1848 | 1804 | 1870
D | Entre quelles villes cette première ligne française circule-t-elle ? | Saint-Étienne et Andrézieux | Paris et Rouen | Lille et Roubaix | Lyon et Grenoble
F | Comment appelle-t-on le déplacement des campagnes vers les villes ? | L'exode rural | L'émigration | La transhumance | La colonisation
M | Quelle classe sociale naît du travail en usine ? | Le prolétariat | La noblesse | La paysannerie | Le clergé
F | Quelle classe possède les usines au XIXe siècle ? | La bourgeoisie | L'aristocratie | Le prolétariat | Le clergé
M | Quelle loi française de 1841 protège pour la première fois les enfants ? | La loi sur le travail des enfants | La loi Ferry | La loi Le Chapelier | La loi Falloux
D | Avant quel âge la loi de 1841 interdit-elle le travail en usine ? | Huit ans | Six ans | Dix ans | Douze ans
M | En quelle année les syndicats sont-ils autorisés en France ? | 1884 | 1848 | 1864 | 1901
D | Quelle loi de 1791 avait interdit les coalitions ouvrières ? | La loi Le Chapelier | La loi Falloux | La loi Guizot | La loi Naquet
M | Qui publie le « Manifeste du parti communiste » en 1848 ? | Marx et Engels | Proudhon et Blanqui | Fourier et Owen | Bakounine et Kropotkine
D | Quelle grande entreprise sidérurgique s'installe au Creusot ? | Schneider | Michelin | Peugeot | De Wendel
M | Pour quelle exposition universelle la tour Eiffel a-t-elle été bâtie ? | Celle de 1889 | Celle de 1900 | Celle de 1878 | Celle de 1855
D | Quel anniversaire l'exposition de 1889 célébrait-elle ? | Le centenaire de la Révolution | Le centenaire de l'Empire | Cent ans de chemin de fer | Le centenaire de la République


# --- Thème 2 · Conquêtes et sociétés coloniales ---

F | Quelle ville d'Algérie la France prend-elle en 1830 ? | Alger | Oran | Constantine | Tlemcen
D | Quel roi de France règne lors de la prise d'Alger ? | Charles X | Louis-Philippe | Louis XVIII | Napoléon III
D | Quel chef algérien résiste à la conquête française jusqu'en 1847 ? | Abd el-Kader | Ahmed Bey | Lalla Fatma | El Mokrani
M | Quelle conférence de 1884 partage l'Afrique entre Européens ? | La conférence de Berlin | Le congrès de Vienne | Le traité de Versailles | Le congrès de Paris
D | Quel chancelier allemand réunit cette conférence ? | Bismarck | Guillaume II | Metternich | Hindenburg
M | Quel homme politique français justifie la colonisation en 1885 ? | Jules Ferry | Georges Clemenceau | Léon Gambetta | Jules Grévy
M | Quel rang l'empire colonial français occupe-t-il vers 1900 ? | Le deuxième | Le premier | Le troisième | Le cinquième
F | Quel empire colonial était le plus vaste au XIXe siècle ? | L'empire britannique | L'empire français | L'empire allemand | L'empire russe
F | Quel canal, ouvert en 1869, relie la Méditerranée à la mer Rouge ? | Le canal de Suez | Le canal de Panama | Le canal de Corinthe | Le canal de Kiel
D | Quel Français a dirigé le percement du canal de Suez ? | Ferdinand de Lesseps | Gustave Eiffel | Paul Doumer | Auguste Pavie
D | Quel régime juridique soumettait les colonisés à un droit à part ? | Le code de l'indigénat | Le Code noir | Le régime de la capitulation | Le droit coutumier
D | Quelle crise de 1898 oppose la France au Royaume-Uni au Soudan ? | Fachoda | Agadir | Tanger | Le Transvaal
F | Quelle péninsule d'Asie la France colonise-t-elle au XIXe siècle ? | L'Indochine | L'Inde | La Corée | L'Arabie


# --- Thème 3 · Une difficile conquête : voter de 1815 à 1870 ---

M | Quel texte fonde le régime de la Restauration en 1814 ? | La Charte | La Constitution civile | Le Code civil | La Déclaration des droits
M | Comment appelle-t-on le vote réservé aux plus imposés ? | Le suffrage censitaire | Le suffrage universel | Le vote plural | Le suffrage indirect
D | Quel impôt fallait-il payer pour voter sous la Restauration ? | Le cens | La dîme | La gabelle | La taille
M | Quel roi monte sur le trône après les Trois Glorieuses ? | Louis-Philippe | Charles X | Louis XVIII | Napoléon III
D | Quel titre Louis-Philippe porte-t-il, et non celui de roi de France ? | Roi des Français | Roi-citoyen | Prince-président | Régent du royaume
M | En quelle année le suffrage universel masculin est-il instauré ? | 1848 | 1830 | 1870 | 1875
M | Combien d'électeurs le suffrage universel de 1848 crée-t-il environ ? | Neuf millions | Un million | Trois millions | Vingt millions
M | Qui est élu président de la Deuxième République en 1848 ? | Louis-Napoléon Bonaparte | Lamartine | Cavaignac | Ledru-Rollin
M | Quel jour de 1851 Louis-Napoléon fait-il son coup d'État ? | Le 2 décembre | Le 14 juillet | Le 18 brumaire | Le 4 septembre
D | Comment appelle-t-on le candidat soutenu par le pouvoir sous le Second Empire ? | Le candidat officiel | Le candidat du cens | Le candidat de la Chambre | Le candidat royal


# --- Thème 3 · La Troisième République ---

M | Quel jour de 1870 la Troisième République est-elle proclamée ? | Le 4 septembre | Le 14 juillet | Le 2 décembre | Le 21 janvier
M | Quelles lois de 1881 et 1882 rendent l'école gratuite et obligatoire ? | Les lois Ferry | Les lois Guizot | Les lois Falloux | Les lois Naquet
F | Quels trois caractères l'école de Jules Ferry reçoit-elle ? | Gratuite, laïque, obligatoire | Payante, libre, facultative | Publique, mixte, technique | Gratuite, mixte, religieuse
M | Jusqu'à quel âge l'école devient-elle obligatoire en 1882 ? | Treize ans | Onze ans | Quinze ans | Seize ans
M | Quelle grande loi de 1881 libère les journaux ? | La liberté de la presse | La liberté de réunion | La liberté d'association | La liberté de culte
M | Quelle loi de 1901 encadre les associations ? | La loi sur les associations | La loi Ferry | La loi Waldeck | La loi Combes
M | En quelle année la Marseillaise devient-elle l'hymne national ? | 1879 | 1792 | 1848 | 1905
M | En quelle année le 14 juillet devient-il fête nationale ? | 1880 | 1789 | 1870 | 1919
F | Quel écrivain publie « J'accuse » en 1898 ? | Émile Zola | Victor Hugo | Anatole France | Maurice Barrès
D | Dans quel journal « J'accuse » paraît-il ? | L'Aurore | Le Figaro | Le Temps | La Croix
M | En quelle année Alfred Dreyfus est-il réhabilité ? | 1906 | 1899 | 1894 | 1918


# --- Thème 3 · Conditions féminines dans une société en mutation ---

F | Sous quelle autorité le Code civil de 1804 place-t-il la femme mariée ? | Celle de son mari | Celle de son père | Celle du juge | Celle de la commune
D | Quel droit le Code civil de 1804 refuse-t-il à la femme mariée ? | Disposer de ses biens seule | Se marier | Hériter | Travailler
M | Quelle loi de 1880 ouvre des lycées aux jeunes filles ? | La loi Camille Sée | La loi Ferry | La loi Falloux | La loi Duruy
D | Qui devient la première bachelière française en 1861 ? | Julie-Victoire Daubié | Hubertine Auclert | Louise Michel | Maria Deraismes
D | Quelle militante réclame le droit de vote des femmes sous la République ? | Hubertine Auclert | George Sand | Flora Tristan | Olympe de Gouges
F | En quelle année les femmes obtiennent-elles le droit de vote en France ? | 1944 | 1918 | 1936 | 1848
M | Quelle loi de 1884 rétablit le divorce en France ? | La loi Naquet | La loi Ferry | La loi Sée | La loi Waldeck-Rousseau
M | Dans quelle industrie les ouvrières étaient-elles les plus nombreuses ? | Le textile | La sidérurgie | Les mines | Les chantiers navals
D | Comment le salaire des ouvrières se comparait-il à celui des hommes ? | Environ la moitié | Le même | Un quart de plus | Un peu inférieur


# --- Compléments : le XVIIIe siècle et les colonies ---

F | Quel océan les navires négriers traversaient-ils avec leur cargaison humaine ? | L'Atlantique | Le Pacifique | L'océan Indien | La Méditerranée
M | Comment nommait-on la traversée d'Afrique en Amérique des navires négriers ? | Le passage du milieu | La route du sucre | Le grand cabotage | La traversée du levant
M | Quel port de la Gironde s'enrichit aussi de la traite ? | Bordeaux | Toulouse | Limoges | Clermont
M | Que troquaient les Européens contre des captifs sur les côtes d'Afrique ? | Des armes et des étoffes | De l'or seulement | Des esclaves | Des terres
D | Quelle île de l'océan Indien était appelée île Bourbon ? | La Réunion | Maurice | Madagascar | Les Comores
M | Quelle boisson coloniale se répand dans les cafés parisiens au XVIIIe siècle ? | Le café | La bière | Le cidre | Le vin chaud
D | Quelle compagnie française détenait le monopole du commerce avec l'Asie ? | La Compagnie des Indes | La Compagnie du Levant | La Compagnie du Nord | La Compagnie royale
M | Quelle guerre fait perdre à la France le Canada en 1763 ? | La guerre de Sept Ans | La guerre de Succession | La guerre d'Amérique | La guerre de Trente Ans
D | Quel traité de 1763 cède le Canada aux Britanniques ? | Le traité de Paris | Le traité d'Utrecht | Le traité de Vienne | Le traité de Ryswick
