# Arts & Lettres — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.

F | Qui a peint La Joconde ? | Léonard de Vinci | Michel-Ange | Raphaël | Botticelli
F | Qui a écrit Les Misérables ? | Victor Hugo | Émile Zola | Balzac | Alexandre Dumas
F | Qui a écrit Roméo et Juliette ? | William Shakespeare | Molière | Christopher Marlowe | Racine
M | Qui a sculpté Le Penseur ? | Auguste Rodin | Camille Claudel | Aristide Maillol | Antoine Bourdelle
M | Quel peintre néerlandais s'est mutilé l'oreille ? | Vincent van Gogh | Rembrandt | Vermeer | Piet Mondrian
M | Quel compositeur, devenu sourd, a écrit la Neuvième Symphonie ? | Ludwig van Beethoven | Mozart | Schubert | Brahms
M | Qui a écrit À la recherche du temps perdu ? | Marcel Proust | André Gide | Gustave Flaubert | Louis Aragon
D | Qui a écrit Le Rouge et le Noir ? | Stendhal | Balzac | Flaubert | Maupassant
D | Quel tableau de Monet a donné son nom à l'impressionnisme ? | Impression, soleil levant | Les Nymphéas | La Gare Saint-Lazare | Le Déjeuner sur l'herbe
D | Qui a écrit Cent ans de solitude ? | Gabriel García Márquez | Jorge Luis Borges | Mario Vargas Llosa | Julio Cortázar
F | Qui a écrit Le Petit Prince ? | Antoine de Saint-Exupéry | Jules Verne | Albert Camus | Jacques Prévert
F | Quel musée abrite la Vénus de Milo ? | Le Louvre | Le musée d'Orsay | Le Prado | Le British Museum
F | Qui a écrit Vingt mille lieues sous les mers ? | Jules Verne | Victor Hugo | Alexandre Dumas | Émile Zola
M | Quel peintre espagnol a peint Guernica ? | Pablo Picasso | Salvador Dalí | Joan Miró | Francisco de Goya
M | Qui a composé Les Quatre Saisons ? | Antonio Vivaldi | Jean-Sébastien Bach | Georg Friedrich Haendel | Mozart
