# Rock 70-80 — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Les groupes et les voix des années 1970 et 1980, ici et ailleurs : qui
# chantait, qui tenait quel instrument, d'où venait le groupe, et qui a signé
# quel titre. La chanson française de la même époque complète le tableau.
#
# Deux pièges de forme, propres à ce thème. L'énoncé ne porte qu'un seul point
# d'interrogation : on ne cite donc jamais un titre qui en contient un. Et le
# nom d'un groupe tient dans quarante-six signes — ce qui va de soi, sauf pour
# les formations à rallonge, qu'on désigne alors par leur nom d'usage.

! id      | rock-70-80
! nom     | Rock 70-80
! de      | de Rock 70-80
! detail  | Les groupes, les voix et les rôles, en France et ailleurs.
! icone   | guitars
! teinte  | 0.86 0.34 0.52
! rang   | 6
! produit | com.oulhen.riskelo.pack.rock7080


# --- Les groupes britanniques : les voix ---

F | Qui chantait dans Queen ? | Freddie Mercury | Brian May | Roger Taylor | John Deacon
F | Qui chantait dans les Rolling Stones ? | Mick Jagger | Keith Richards | Charlie Watts | Bill Wyman
F | Qui chantait dans Led Zeppelin ? | Robert Plant | Jimmy Page | John Bonham | John Paul Jones
F | Qui chantait dans The Who ? | Roger Daltrey | Pete Townshend | John Entwistle | Keith Moon
F | Qui chantait dans Deep Purple sur « Smoke on the Water » ? | Ian Gillan | Ritchie Blackmore | Jon Lord | Roger Glover
F | Qui chantait dans Black Sabbath à ses débuts ? | Ozzy Osbourne | Tony Iommi | Geezer Butler | Bill Ward
F | Qui chantait dans The Police ? | Sting | Andy Summers | Stewart Copeland | Henry Padovani
F | Qui chante dans U2 ? | Bono | The Edge | Adam Clayton | Larry Mullen Jr
F | Qui chantait dans Dire Straits ? | Mark Knopfler | David Knopfler | John Illsley | Pick Withers
F | Qui chante dans The Cure ? | Robert Smith | Simon Gallup | Lol Tolhurst | Porl Thompson
F | Qui chante dans Depeche Mode ? | Dave Gahan | Martin Gore | Andy Fletcher | Vince Clarke
M | Qui chantait dans Duran Duran ? | Simon Le Bon | Nick Rhodes | John Taylor | Andy Taylor
M | Qui chante dans Iron Maiden depuis 1981 ? | Bruce Dickinson | Steve Harris | Dave Murray | Paul Di'Anno
M | Qui chantait dans Judas Priest ? | Rob Halford | Glenn Tipton | K.K. Downing | Ian Hill
M | Qui chante dans Def Leppard ? | Joe Elliott | Phil Collen | Rick Savage | Rick Allen
M | Qui chantait dans The Clash ? | Joe Strummer | Mick Jones | Paul Simonon | Topper Headon
M | Qui chantait dans les Sex Pistols ? | Johnny Rotten | Sid Vicious | Steve Jones | Paul Cook
D | Qui chantait dans Yes à ses grandes heures ? | Jon Anderson | Chris Squire | Steve Howe | Rick Wakeman
M | Qui chantait dans Genesis avant Phil Collins ? | Peter Gabriel | Tony Banks | Mike Rutherford | Steve Hackett
D | Qui chantait dans Supertramp avec Rick Davies ? | Roger Hodgson | John Helliwell | Dougie Thomson | Bob Siebenberg


# --- Les groupes britanniques : les instruments ---

F | Quel instrument Brian May tient-il dans Queen ? | La guitare | La batterie | La basse | Les claviers
F | Quel instrument Keith Richards tient-il chez les Rolling Stones ? | La guitare | La batterie | La basse | Le piano
F | Quel instrument Charlie Watts tenait-il chez les Rolling Stones ? | La batterie | La guitare | La basse | L'harmonica
M | Quel instrument Bill Wyman tenait-il chez les Rolling Stones ? | La basse | La batterie | La guitare | Le saxophone
F | Quel instrument Jimmy Page tenait-il dans Led Zeppelin ? | La guitare | La batterie | La basse | Les claviers
F | Quel instrument John Bonham tenait-il dans Led Zeppelin ? | La batterie | La guitare | La basse | Le violon
D | Quels instruments John Paul Jones tenait-il dans Led Zeppelin ? | La basse et les claviers | La batterie | La guitare solo | Le saxophone
F | Quel instrument John Deacon tenait-il dans Queen ? | La basse | La batterie | La guitare | Le piano
F | Quel instrument Roger Taylor tient-il dans Queen ? | La batterie | La basse | La guitare | Les claviers
F | Quel instrument Pete Townshend tenait-il chez The Who ? | La guitare | La batterie | La basse | Le piano
M | Quel instrument John Entwistle tenait-il chez The Who ? | La basse | La batterie | La guitare | Le trombone seul
F | Quel instrument Keith Moon tenait-il chez The Who ? | La batterie | La basse | La guitare | Le clavier
M | Quel instrument Jon Lord tenait-il dans Deep Purple ? | L'orgue Hammond | La guitare | La basse | La batterie
D | Quel instrument Ian Paice tient-il dans Deep Purple ? | La batterie | La guitare | La basse | Les claviers
F | Quel instrument Tony Iommi tient-il dans Black Sabbath ? | La guitare | La batterie | La basse | Le clavier
M | Quel instrument Geezer Butler tient-il dans Black Sabbath ? | La basse | La batterie | La guitare | Le clavier
F | Quel instrument Sting tenait-il dans The Police, en plus de chanter ? | La basse | La guitare | La batterie | Le saxophone
M | Quel instrument Stewart Copeland tenait-il dans The Police ? | La batterie | La basse | La guitare | Le clavier
M | Quel instrument Andy Summers tenait-il dans The Police ? | La guitare | La basse | La batterie | Le clavier
F | Quel instrument The Edge tient-il dans U2 ? | La guitare | La batterie | La basse | Les claviers
F | Quel instrument Adam Clayton tient-il dans U2 ? | La basse | La batterie | La guitare | Le piano
F | Quel instrument Larry Mullen Jr tient-il dans U2 ? | La batterie | La basse | La guitare | Le clavier
M | Quel instrument Steve Harris tient-il dans Iron Maiden ? | La basse | La batterie | La guitare | Le clavier
D | Quelle particularité a le batteur de Def Leppard depuis 1985 ? | Il joue avec un seul bras | Il joue debout | Il joue sans cymbales | Il joue avec les mains
D | Quel instrument Rick Wakeman tenait-il dans Yes ? | Les claviers | La guitare | La basse | La batterie
M | Quel instrument Phil Collins tenait-il dans Genesis avant de chanter ? | La batterie | La basse | La guitare | Les claviers
D | Quel instrument Mike Rutherford tient-il dans Genesis ? | La basse et la guitare | La batterie | Les claviers | Le saxophone
D | Quel instrument Tony Banks tient-il dans Genesis ? | Les claviers | La guitare | La basse | La batterie


# --- D'où viennent les groupes ---

F | De quel pays vient le groupe AC/DC ? | L'Australie | Le Royaume-Uni | Les États-Unis | Le Canada
F | De quel pays vient le groupe ABBA ? | La Suède | La Norvège | Le Danemark | La Finlande
F | De quel pays vient le groupe U2 ? | L'Irlande | Le Royaume-Uni | Les États-Unis | L'Australie
F | De quel pays vient le groupe Scorpions ? | L'Allemagne | L'Autriche | La Suisse | Les Pays-Bas
F | De quel pays vient le groupe Kraftwerk ? | L'Allemagne | La Belgique | Les Pays-Bas | La Suède
F | De quel pays vient le groupe Rush ? | Le Canada | Les États-Unis | Le Royaume-Uni | L'Australie
F | De quel pays vient le groupe a-ha ? | La Norvège | La Suède | Le Danemark | L'Islande
M | De quel pays vient le groupe Europe ? | La Suède | L'Allemagne | Les Pays-Bas | La Norvège
M | De quel pays vient le groupe Thin Lizzy ? | L'Irlande | L'Écosse | Le pays de Galles | L'Angleterre
F | De quel pays vient le groupe INXS ? | L'Australie | La Nouvelle-Zélande | Les États-Unis | Le Canada
M | De quel pays vient le groupe Golden Earring ? | Les Pays-Bas | La Belgique | L'Allemagne | Le Danemark
M | De quel pays vient le groupe Men at Work ? | L'Australie | Le Royaume-Uni | Le Canada | L'Irlande
D | De quel pays vient le groupe Midnight Oil ? | L'Australie | Les États-Unis | Le Royaume-Uni | L'Afrique du Sud
M | De quelle ville britannique vient le groupe Black Sabbath ? | Birmingham | Liverpool | Manchester | Londres
M | De quelle ville britannique vient le groupe Duran Duran ? | Birmingham | Londres | Sheffield | Glasgow
M | De quelle ville britannique vient le groupe Def Leppard ? | Sheffield | Birmingham | Liverpool | Bristol
M | De quelle ville américaine vient le groupe Aerosmith ? | Boston | New York | Los Angeles | Chicago
F | De quel État américain vient le groupe ZZ Top ? | Le Texas | La Californie | New York | La Floride
